Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,140421.95,140421.94999999998,2.9103830456733704e-11,2.0725983691818626e-16
IME,249630.12000000002,249630.11999999997,5.820766091346741e-11,2.3317563166442977e-16
JL,262262.7,262262.70000000007,-5.820766091346741e-11,-2.2194410761983082e-16
LN,134124.93,134124.92999999996,2.9103830456733704e-11,2.1699046148045486e-16
SD,0,0,,
JB,0,0,,
