Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,135199.71950225745,526317.2942947089,523782.456287803,1.0768763737155944e6,290.0000000000001,64354.83866279995,
IME,413533.1818438284,822946.6401404544,1.3179385662092485e6,2.378044653963576e6,,6596.171850240002,
JL,129596.93487693797,496214.75649363635,331639.8413350083,1.960335e6,,342519.7244918402,
LN,157878.55327138476,527896.4349999998,2.567037565438235e6,599126.0849999998,0.0,72198.83659968,1.7514e6
SD,,,0.0,,,,
JB,,,0.0,,,,
