STOR,SOLAR,COAL,WIND,GAS,HYDRO
0.0,0.0,3186.375,1277.55,29.0,44.71060390818491
0.0,0.0,3186.375,876.75,29.0,610.3704580918152
0.0,0.0,3186.375,509.34999999999997,29.0,141.5198371273259
0.0,0.0,3186.375,233.8,29.0,124.82668087267422
0.0,0.0,3186.375,58.45,29.0,0.0
0.0,147.0,3186.375,8.35,29.0,289.3838760000001
0.0,609.0,3186.375,0.0,29.0,0.0
0.0,1029.0,3186.375,0.0,29.0,210.56279199999994
0.0,1327.2,3186.375,8.35,29.0,300.2905310000001
0.0,1507.8,3186.375,16.7,29.0,300.2905310000001
0.0,1894.2,3186.375,58.45,29.0,900.8715930000003
0.0,1961.4,3186.375,167.0,29.0,0.0
0.0,1843.8,3186.375,334.0000000000002,29.0,0.0
0.0,1486.8,3186.375,526.05,29.0,300.2905310000001
0.0,1045.8,3637.8232017019936,526.05,29.0,300.2905310000001
0.0,869.4000000000001,3921.375,375.75,29.0,300.2905310000001
0.0,478.80000000000007,3921.375,342.35,29.0,659.5661000000009
0.0,155.40000000000003,3921.375,300.59999999999997,29.0,899.6304635291176
0.0,0.0,3921.375,559.45,29.0,377.12502947088205
0.0,0.0,3921.375,768.1999999999999,29.0,300.29053100000004
0.0,0.0,3921.375,1002.0,29.0,0.0
0.0,0.0,3906.375,1302.6,29.0,600.5810620000001
0.0,0.0,3186.375,1561.45,29.0,300.29053100000004
0.0,0.0,3186.375,1077.15,29.0,300.29053100000004
0.0,0.0,3186.375,743.15,29.0,0.0
0.0,0.0,3186.375,492.65,29.0,0.0
0.0,0.0,3186.375,292.25,29.0,42.11407800000018
0.0,0.0,3186.375,125.25,29.0,450.59053100000017
0.0,0.0,3593.493311,25.05,29.0,0.0
0.0,147.0,3921.375,0.0,29.0,273.58857699999976
0.0,680.4,3921.375,0.0,29.0,300.2905310000001
0.0,1335.6,3921.375,0.0,29.0,300.2905310000001
0.0,1932.0,3921.375,0.0,29.0,300.2905310000001
0.0,2356.2000000000003,4437.013279304139,0.0,29.0,300.2905310000001
0.0,2490.6,4797.25,0.0,29.0,694.7342449999996
0.0,2528.4,4296.75,0.0,29.0,474.4526443407191
0.0,2284.8,3921.375,0.0,29.0,0.0
0.0,2171.4,4185.916911248011,8.349999999999909,29.0,31.97523465928157
0.0,1927.8000000000002,3921.375,33.4,29.0,300.2905310000001
0.0,1499.3999999999999,5397.6768139999995,83.5,29.0,300.2905310000001
0.0,764.4,5385.8840390000005,183.69999999999993,29.0,300.2905310000001
0.0,193.2,5271.750533,684.7,29.0,444.4902470000002
0.0,0.0,5430.0,2621.9,29.0,156.09081500000002
0.0,0.0,4891.2957129999995,3381.75,29.0,600.5310620000004
0.0,0.0,4750.77974048055,3314.9500000000003,29.0,760.6140476243913
0.0,0.0,3936.375,2980.95,29.0,575.1764833756088
0.0,0.0,3921.375,2697.05,29.0,300.29053100000004
0.0,0.0,3739.5158278027016,2655.3,29.0,300.29053100000004
0.0,0.0,3186.375,2713.75,29.0,300.29053100000004
0.0,0.0,3186.375,2655.3,29.0,0.0
0.0,0.0,3186.375,2530.0499999999997,29.0,0.0
0.0,0.0,3186.375,2413.1499999999996,29.0,165.71212399999996
0.0,0.0,3201.375,2112.55,29.0,0.0
0.0,37.799999999999955,3921.375,1970.6,29.0,300.2905310000001
0.0,327.60000000000014,3921.375,1703.3999999999999,29.0,1063.6290620000004
0.0,852.6000000000001,3921.375,1678.3500000000001,29.0,572.402
0.0,1444.8,3921.375,2722.0999999999995,29.0,0.0
0.0,2003.3999999999996,3921.375,2880.75,29.0,0.0
0.0,2364.6,3921.375,2697.0499999999997,29.0,766.2931860000001
0.0,2683.8,3201.375,2797.25,29.0,0.0
0.0,2608.2,3186.375,2955.8999999999996,29.0,0.0
0.0,2322.6000000000004,3885.156608827413,2805.6000000000004,29.0,0.0
0.0,1772.4,3921.375,2054.1,29.0,300.2905310000001
0.0,915.6000000000001,5338.722008999999,1235.8,29.0,300.2905310000001
0.0,289.79999999999995,5352.437819,976.95,29.0,300.2905310000001
0.0,67.2,4779.711554625045,1452.8999999999999,29.0,870.6848803749544
0.0,0.0,5047.5,2404.7999999999997,29.0,30.13671262504613
0.0,0.0,5605.14351,2229.4500000000003,29.0,0.04999999999972715
0.0,0.0,5363.891009,1895.45,29.0,300.2905310000001
0.0,0.0,5117.615824696548,1619.9,29.0,621.4045653034514
0.0,0.0,4578.858785,1553.1,29.0,1014.6264966965491
0.0,0.0,3471.625,1444.55,29.0,300.29053100000004
0.0,0.0,3471.625,1177.35,29.0,300.29053100000004
0.0,0.0,3471.625,976.95,29.0,165.71212399999996
0.0,0.0,3471.625,793.25,29.0,0.0
0.0,0.0,3471.625,617.9,29.0,0.0
0.0,0.0,3471.625,475.95000000000005,29.0,0.0
