Week,Share
1,0.13895485713428907
2,0.2329686170785332
3,0.29280134536317703
4,0.15422575625007987
5,0.20352188203296098
6,0.21630513954299596
7,0.283352643223631
8,0.30193188230824475
9,0.3008810018218041
10,0.3452099015441599
11,0.24861076499854776
12,0.23891374711583058
13,0.24631063878202328
