Region,TotalPotentials,TotalCurtailments,Curtailment_rate
HL,4.28701265e6,87383.83733436863,0.020383386863663353
IME,1.1908905876000002e7,829369.0073694647,0.06964275442304828
JL,5.472927489999999e6,908.3059798573668,0.0001659634595044428
LN,7.029336200000001e6,8348.127382132196,0.0011876124778513503
SD,0.0,,
JB,0.0,,
NEG,2.8698182216000006e7,926009.2780658229,0.03226717535961382
