Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,706768.3480000001,688039.1055664514,18729.242433548672,0.026499831927318664
IME,1.11711782e6,1.0664935849883961e6,50624.235011603916,0.04531682702152573
JL,955665.0,841048.1268681186,114616.87313188135,0.11993415384248807
LN,881447.3050000002,881447.3049999997,4.656612873077393e-10,5.282916910248415e-16
SD,0,0,,
JB,0,0,,
