Week,Zone 1 Max NSE MW,Zone 2 Max NSE MW,Zone 3 Max NSE MW,Zone 4 Max NSE MW,Zone 5 Max NSE MW,Zone 6 Max NSE MW
1,0.0,3859.5862749200005,0.0,0.0,386.7003468142002,226.29097226749082
2,0.0,2428.0558514399995,0.0,0.0,306.46857066605025,0.0
3,0.0,1710.1721739600007,0.0,0.0,292.6322107255396,0.0
4,361.36733725167073,5408.652275130002,0.0,738.2170501210016,313.2466319829805,255.5696795376998
5,0.0,6244.508749990002,0.0,1279.7933083660005,305.8285244916997,254.97259234869944
6,0.0,6143.153787700001,15.981516436499987,1479.0197295876746,308.40229522762047,250.65530392329902
7,576.0968407835453,5078.206482055455,0.0,1020.8607856149986,296.8877692803899,246.89067446829995
8,3453.4912983999984,5048.602816360001,0.0,0.0,293.5331966241406,0.0
9,5381.52596879,0.0,0.0,0.0,0.0,0.0
10,1375.5547885000015,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
