STOR,SOLAR,COAL,WIND,HYDRO
0.0,0.0,5943.125000000001,13590.0,1406.3583163800001
0.0,0.0,5943.125000000001,16650.0,0.0
0.0,0.0,5943.125000000001,19485.0,0.0
0.0,0.0,5943.125000000001,19800.0,0.0
0.0,75.0,5943.125000000001,21780.0,128.4832655199998
0.0,1005.0000000000001,5943.125000000001,17820.0,1167.3583163800004
2956.1089130562364,2625.0,5943.125000000001,6975.0,2573.4834669437632
2375.0,5145.0,5943.125000000001,6165.0,4302.183165816238
0.0,7290.0,5943.125000000001,6210.0,1167.3583163800001
0.0,8970.0,5943.125000000001,4860.0,0.0
0.0,9900.0,5943.125000000001,4455.0,2334.7166327600003
0.0,10185.0,5943.125000000001,4905.0,128.48326552000026
0.0,10095.0,5943.125000000001,6120.0,0.0
0.0,9255.0,5943.125000000001,8010.0,0.0
0.0,7935.0,5943.125000000001,8910.0,0.0
0.0,6090.0,5943.125000000001,7200.0,1167.3583163800004
0.0,3780.0,9250.0,3915.0,1167.3583163800004
3975.0,1545.0,9014.050000000001,989.9999999999999,1167.3583163800004
6615.0,390.0,8590.0,135.0,1167.3583163800004
6615.0,0.0,8590.0,90.0,3072.773676
4240.0,0.0,8590.0,45.0,2310.3793968506925
5702.9645040000005,0.0,8590.0,135.0,2167.942399789309
0.0,0.0,8106.811699999999,720.0,1659.2877928800003
0.0,0.0,6794.525,1215.0,1167.3583163800001
0.0,0.0,5614.775,315.0,968.8617800000029
0.0,0.0,5614.775,90.0,326.9798018999975
0.0,0.0,5614.775,5625.0,0.0
0.0,0.0,5614.775,11070.0,0.0
0.0,60.0,5614.775,9765.0,0.0
1753.5797672399976,765.0,6794.525,4860.0,2334.6666327600014
929.3578899999991,2325.0,6794.525,3330.0,4541.0
1445.642110000001,4211.258290909098,4670.975,8595.0,1167.3583163800001
0.0,4980.0,4670.975,19856.364073620007,1167.3583163800001
0.0,0.0,1278.5749999999998,28936.87063362,1167.3583163800001
0.0,0.0,0.0,32701.00219,0.0
0.0,0.0,0.0,33879.68235736842,0.0
0.0,0.0,0.0,36589.39761197167,0.0
3210.1780524115193,0.0,0.0,12741.799976330083,4669.4332655200005
0.0,0.0,0.0,32015.97705736842,0.0
0.0,5580.0,0.0,30877.738862296304,0.0
0.0,2480.773754903006,0.0,35010.0,0.0
0.0,0.0,0.0,30240.996810162338,128.4832655199998
0.0,420.0,0.0,24660.000000000004,1167.3583163800004
0.0,0.0,1320.0,21015.0,3339.432916138001
0.0,0.0,3960.0,17865.0,162.64203300199983
0.0,0.0,5940.0,14535.0,0.0
0.0,0.0,5940.0,11925.0,1671.5638739299359
0.0,0.0,5940.0,9495.0,3170.552367258688
0.0,0.0,5940.0,8460.0,718.1768900000002
0.0,0.0,5940.0,7245.0,2611.2150834713784
0.0,0.0,5940.0,6210.000000000001,0.0
0.0,0.0,4760.25,6075.0,0.0
0.0,45.0,4760.25,7200.0,0.0
0.0,855.0,5940.0,9765.0,1167.3583163800004
2375.0,2340.0,5940.0,5985.0,2334.6666327600014
402.63216849999947,4260.0,5940.0,1845.0,4541.0
0.0,6090.0,5940.0,2700.0,1167.3583163800001
0.0,7575.0,4760.25,2160.0,0.0
0.0,8535.0,4760.25,1530.0,0.0
0.0,8430.0,4760.25,945.0000000000001,1295.8415819000004
0.0,8280.0,4760.25,494.99999999999994,0.0
0.0,7590.0,4760.25,225.0,0.0
0.0,6375.0,4760.25,90.0,1167.3583163800004
0.0,4755.0,5940.0,45.0,1167.3583163800004
0.0,2955.0,11320.0,0.0,1167.3583163800004
5848.312452403825,1320.0,11320.0,0.0,1167.3583163800004
1753.204890000001,255.0,11320.0,630.0,4780.0
1342.0710272399988,0.0,11320.0,4545.0,2095.6666327600014
0.0,0.0,11320.0,8505.0,128.48326552000026
0.0,0.0,11320.0,8775.0,0.0
0.0,0.0,11320.0,7020.0,0.0
0.0,0.0,11320.0,5310.0,0.0
0.0,0.0,11320.0,3914.9999999999995,1306.0277427600022
0.0,0.0,11320.0,2430.0,1028.688889999999
0.0,0.0,11320.0,1305.0,2153.688889999999
2332.6611472399973,0.0,11320.0,945.0000000000001,181.02774276000173
0.0,15.0,11320.0,1125.0,1377.1148263014293
0.0,675.0,11320.0,1260.0,1906.0308492185727
0.0,2010.0000000000002,11320.0,359.9999999999998,3615.9384399999994
0.0,3765.0,11320.0,135.0,2311.2991500000003
0.0,5475.0,11320.0,180.0,1167.3583163800001
0.0,6735.0,9396.65,135.0,964.9859563799998
0.0,7410.0,9396.65,90.0,0.0
0.0,7395.0,9396.65,45.0,0.0
0.0,7290.0,9396.65,45.0,0.0
0.0,6630.0,9396.65,45.0,330.8556255200001
0.0,4905.0,11320.0,180.0,1167.3583163800004
1075.267825520004,3285.0,11320.0,494.99999999999994,2048.9170718230494
1898.9432287729271,1890.0,11320.0,1350.0,4780.0
476.0567712270729,900.0,11320.0,4635.0,1214.1078773169522
0.0,165.0,7273.100000000001,14535.0,128.48326552000026
0.0,0.0,7273.100000000001,23040.0,0.0
0.0,0.0,7273.100000000001,22365.0,0.0
0.0,0.0,7273.100000000001,14805.0,0.0
0.0,0.0,7273.100000000001,6344.999999999999,1167.3583163800004
2375.0,0.0,7273.100000000001,1080.0,1376.9436700000006
326.3389851257866,0.0,7273.100000000001,45.0,3699.066202888811
2375.0,0.0,7273.100000000001,0.0,1120.1225006192467
0.0,0.0,7273.100000000001,0.0,1975.3758411519434
0.0,0.0,7273.100000000001,360.0,0.0
0.0,30.0,7273.100000000001,1260.0,0.0
0.0,690.0,7273.100000000001,1710.0,0.0
0.0,1905.0,7273.100000000001,630.0,3955.76548
1258.4662478742132,3225.0,7273.100000000001,0.0,2919.9011527600014
0.0,4845.0,7273.100000000001,0.0,850.9718420773243
0.0,6720.0,7273.100000000001,0.0,0.0
0.0,7860.0,7273.100000000001,0.0,1127.2169762026779
0.0,8355.0,7273.100000000001,0.0,0.0
0.0,8250.0,7273.100000000001,90.0,0.0
0.0,7590.0,7273.100000000001,225.0,485.0110799999984
0.0,6390.0,7273.100000000001,404.99999999999994,1167.3583163800004
0.0,4755.0,9396.65,720.0,1167.3583163800004
3339.2831172889128,2955.0,11320.0,1260.0,2651.4658095
4305.066576015781,1320.0,11320.0,3420.0,2668.0015039842174
0.0,240.0,11320.0,9135.0,1637.9622699999995
0.0,0.0,11320.0,13455.0,0.0
0.0,0.0,11320.0,13365.0,0.0
0.0,0.0,11320.0,9765.0,46.72031479578391
0.0,0.0,11320.0,6075.0,1167.3583163800004
0.0,0.0,11320.0,3600.0,2895.4300292682688
30.255412844812895,0.0,11320.0,2475.0,2058.8994890117337
1239.8203799999987,0.0,11320.0,2160.0,0.0
1554.8203799999987,0.0,11320.0,1845.0,0.0
0.0,0.0,11320.0,1350.0,2049.8203799999987
4986.933589283468,30.0,11320.0,855.0,0.0
2538.8690999999994,840.0,11320.0,585.0,4780.0
2551.915739043201,2400.0,11320.0,90.0,2095.6666327600014
430.61947362000024,4500.0,11320.0,360.0,1167.3583163800001
0.0,6525.0,8190.568602155912,8370.0,1167.3583163800001
0.0,8175.0,6000.950000000001,9540.0,50.28796423886752
0.0,9270.0,6000.950000000001,10215.0,2284.4286685211327
0.0,9525.0,6000.950000000001,9585.0,548.248817368421
0.0,9345.0,6000.950000000001,8595.0,0.0
0.0,8535.0,6000.950000000001,8460.0,747.5927645315796
0.0,7095.0,6000.950000000001,9405.0,0.0
0.0,5280.0,6000.950000000001,11295.0,0.0
481.74108945036255,3240.0,2544.3,13635.0,1521.1919575382708
698.2327599999985,1410.0,2544.300000000001,13950.0,4780.0
0.0,270.0,1696.1999999999998,17190.0,1741.8329916017308
0.0,0.0,1696.1999999999998,22320.0,0.0
0.0,0.0,1696.1999999999998,21735.0,0.0
0.0,0.0,1696.1999999999998,17460.0,0.0
0.0,0.0,1696.1999999999998,10305.0,128.4832655199998
0.0,0.0,1696.1999999999998,4230.0,1167.3583163800004
0.0,0.0,1696.1999999999998,989.9999999999999,1167.3583163800004
2375.0,0.0,1696.1999999999998,135.0,1167.3583163800004
198.43508362000193,0.0,1696.1999999999998,0.0,1167.3583163800004
0.0,0.0,1696.1999999999998,0.0,2334.7166327600007
2176.5649163799985,15.0,1696.1999999999998,0.0,0.0
2375.0,765.0,2640.0,0.0,2334.6666327600014
3577.0746100000006,2250.0,1696.1999999999998,0.0,4541.0
0.0,4230.0,1696.200000000002,0.0,952.5048828167025
653.8242794999999,4363.532583038372,0.0,0.0,1353.0521206010874
0.0,6675.375905563635,0.0,0.0,429.41460710221145
0.0,7632.886015,0.0,0.0,1934.4616549999992
0.0,7845.237781709091,0.0,2160.0,0.0
0.0,7396.118682565548,0.0,3150.0000000000005,2270.5564914378965
0.0,7935.0,0.0,4185.0,192.59340684210463
0.0,6222.442672490906,0.0,5400.0,0.0
0.0,4845.0,0.0,7380.0,0.0
353.4838610000038,2955.0,0.0,10935.0,1644.7369589999944
0.0,1260.0,0.0,14130.0,0.0
0.0,210.0,0.0,15165.000000000002,690.0296737600056
0.0,0.0,0.0,9855.0,1167.3583163800004
288.9289782222831,0.0,0.0,5670.0,4780.0
338.73415849999964,0.0,0.0,6255.000000000001,2095.6666327600014
1766.6734868800004,0.0,0.0,4365.0,0.0
1601.2910870691198,0.0,0.0,2160.0,2095.7166327600003
