Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,380534.88000000006,380534.8799999999,1.7462298274040222e-10,4.588882436753294e-16
IME,633656.1280000001,633274.9325513627,381.1954486374743,0.000601580939240083
JL,1.171755e6,1.1702373878849843e6,1517.6121150157414,0.0012951616293642796
LN,1.2633830999999999e6,1.2633830999999992e6,6.984919309616089e-10,5.528742081175606e-16
SD,0,0,,
JB,0,0,,
