Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,0.0,90984.6,2.266366813498557e6,246448.92923262078,21675.582954389996,32103.79267199998,
IME,22778.580223643916,63396.79174947461,1.5358287124286396e6,997600.1181187935,,13032.754522623394,
JL,1826.2943196857468,71743.10000000005,1.6587133788307484e6,297414.6000000001,,58725.064925520004,
LN,3338.0294390092968,124906.18000000002,2.1922392325115805e6,644634.48,5530.0,50767.25303999999,890135.4457523718
SD,,,0.0,,,,
JB,,,0.0,,,,
