Region,TotalPotentials,TotalCurtailments,Curtailment_rate
HL,5.577978444000001e6,695026.7465158299,0.12460190613741816
IME,1.5163926692999998e7,2.6180996576349717e6,0.1726531465523072
JL,9.363135e6,2.8386614685906637e6,0.30317425398551484
LN,9.926800915000001e6,7180.529596325767,0.0007233477993374027
SD,0.0,,
JB,0.0,,
NEG,4.0031841052e7,6.158968402337791e6,0.15385174002708246
