Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,159561.8836756217,497827.627782466,909606.0727565541,1.0800593500443846e6,274.0000000000001,64298.09511524993,
IME,382376.605764621,766470.3292921187,1.5773699860295216e6,2.2772370997466533e6,,6596.171850239998,
JL,161532.65079169523,314995.58515465306,357095.30973181076,1.6370937878114756e6,,329877.12200140033,
LN,154285.4364838563,527896.4349999998,3.1694576579129132e6,599126.0849999998,150.0,72198.83659967998,1.7514e6
SD,,,0.0,,,,
JB,,,0.0,,,,
