Region,TotalPotentials,TotalCurtailments,Curtailment_rate
HL,5.577978444000001e6,660856.3868781445,0.11847596642991694
IME,1.5163926692999998e7,2.64879376711593e6,0.17467729966926518
JL,9.363135e6,2.8096070386589584e6,0.30007118755192125
LN,9.926800915000001e6,3720.634271742194,0.00037480697997278146
SD,0.0,,
JB,0.0,,
NEG,4.0031841052e7,6.122977826924775e6,0.15295269130818226
