hour,tech,dispatch,zone,period
127,net_export,-1e-10,hl,2021 week 1
128,net_export,-1e-10,hl,2021 week 1
129,net_export,-1e-10,hl,2021 week 1
130,net_export,-1e-10,hl,2021 week 1
131,net_export,-1e-10,hl,2021 week 1
132,net_export,-1e-10,hl,2021 week 1
133,net_export,-1e-10,hl,2021 week 1
134,net_export,-1e-10,hl,2021 week 1
135,net_export,-1e-10,hl,2021 week 1
136,net_export,-1e-10,hl,2021 week 1
137,net_export,-1e-10,hl,2021 week 1
138,net_export,-1e-10,hl,2021 week 1
139,net_export,-1e-10,hl,2021 week 1
140,net_export,-1e-10,hl,2021 week 1
141,net_export,-1e-10,hl,2021 week 1
142,net_export,-1e-10,hl,2021 week 1
143,net_export,-1e-10,hl,2021 week 1
144,net_export,-1e-10,hl,2021 week 1
145,net_export,-1e-10,hl,2021 week 1
146,net_export,-1e-10,hl,2021 week 1
147,net_export,-1e-10,hl,2021 week 1
148,net_export,-1e-10,hl,2021 week 1
149,net_export,-1e-10,hl,2021 week 1
150,net_export,-1e-10,hl,2021 week 1
151,net_export,-1e-10,hl,2021 week 1
152,net_export,-1e-10,hl,2021 week 1
153,net_export,-1e-10,hl,2021 week 1
154,net_export,-1e-10,hl,2021 week 1
155,net_export,-1e-10,hl,2021 week 1
156,net_export,-1e-10,hl,2021 week 1
157,net_export,-1e-10,hl,2021 week 1
158,net_export,-1e-10,hl,2021 week 1
159,net_export,-1e-10,hl,2021 week 1
160,net_export,-1e-10,hl,2021 week 1
161,net_export,-1e-10,hl,2021 week 1
162,net_export,-1e-10,hl,2021 week 1
163,net_export,-1e-10,hl,2021 week 1
164,net_export,-1e-10,hl,2021 week 1
165,net_export,-1e-10,hl,2021 week 1
166,net_export,-1e-10,hl,2021 week 1
167,net_export,-1e-10,hl,2021 week 1
168,net_export,-1e-10,hl,2021 week 1
1,charge,-1e-10,hl,2021 week 1
2,charge,-1e-10,hl,2021 week 1
3,charge,-1e-10,hl,2021 week 1
4,charge,-1e-10,hl,2021 week 1
5,charge,-1e-10,hl,2021 week 1
6,charge,-1e-10,hl,2021 week 1
7,charge,-1e-10,hl,2021 week 1
8,charge,-1e-10,hl,2021 week 1
9,charge,-1e-10,hl,2021 week 1
10,charge,-1e-10,hl,2021 week 1
11,charge,-1e-10,hl,2021 week 1
12,charge,-1e-10,hl,2021 week 1
13,charge,-1e-10,hl,2021 week 1
14,charge,-1e-10,hl,2021 week 1
15,charge,-1e-10,hl,2021 week 1
16,charge,-1e-10,hl,2021 week 1
17,charge,-1e-10,hl,2021 week 1
18,charge,-1e-10,hl,2021 week 1
19,charge,-1e-10,hl,2021 week 1
20,charge,-1e-10,hl,2021 week 1
21,charge,-1e-10,hl,2021 week 1
22,charge,-1e-10,hl,2021 week 1
23,charge,-1e-10,hl,2021 week 1
24,charge,-1e-10,hl,2021 week 1
25,charge,-1e-10,hl,2021 week 1
26,charge,-1e-10,hl,2021 week 1
27,charge,-1e-10,hl,2021 week 1
28,charge,-1e-10,hl,2021 week 1
29,charge,-1e-10,hl,2021 week 1
30,charge,-1e-10,hl,2021 week 1
31,charge,-1e-10,hl,2021 week 1
32,charge,-1e-10,hl,2021 week 1
33,charge,-1e-10,hl,2021 week 1
34,charge,-1e-10,hl,2021 week 1
