,,HL,IME,JL,LN,hour,date and hour,24h,Heat_time_z1,Heat_time_z2,Heat_time_z3,Heat_time_z4
2018/2019,start,10/16/21,10/15/21,10/20/21,11/1/20,1,8/9/21,0,0,0,0,0
,start day,1,1,1,9999,2,8/9/21,1,0,0,0,0
,start hour,1,1,1,9999,3,8/9/21,2,0,0,0,0
,,,,,,4,8/9/21,3,0,0,0,0
,,,,,,5,8/9/21,4,0,0,0,0
,,,,,,6,8/9/21,5,0,0,0,0
,,,,,,7,8/9/21,6,0,0,0,0
,,,,,,8,8/9/21,7,0,0,0,0
,,,,,,9,8/9/21,8,0,0,0,0
,,,,,,10,8/9/21,9,0,0,0,0
,,,,,,11,8/9/21,10,0,0,0,0
,,,,,,12,8/9/21,11,0,0,0,0
,,,,,,13,8/9/21,12,0,0,0,0
,,,,,,14,8/9/21,13,0,0,0,0
,,,,,,15,8/9/21,14,0,0,0,0
,,,,,,16,8/9/21,15,0,0,0,0
,,,,,,17,8/9/21,16,0,0,0,0
,,,,,,18,8/9/21,17,0,0,0,0
,,,,,,19,8/9/21,18,0,0,0,0
,,,,,,20,8/9/21,19,0,0,0,0
,,,,,,21,8/9/21,20,0,0,0,0
,,,,,,22,8/9/21,21,0,0,0,0
,,,,,,23,8/9/21,22,0,0,0,0
,,,,,,24,8/9/21,23,0,0,0,0
,,,,,,25,8/10/21,0,0,0,0,0
,,,,,,26,8/10/21,1,0,0,0,0
,,,,,,27,8/10/21,2,0,0,0,0
,,,,,,28,8/10/21,3,0,0,0,0
,,,,,,29,8/10/21,4,0,0,0,0
,,,,,,30,8/10/21,5,0,0,0,0
,,,,,,31,8/10/21,6,0,0,0,0
,,,,,,32,8/10/21,7,0,0,0,0
,,,,,,33,8/10/21,8,0,0,0,0
,,,,,,34,8/10/21,9,0,0,0,0
,,,,,,35,8/10/21,10,0,0,0,0
,,,,,,36,8/10/21,11,0,0,0,0
,,,,,,37,8/10/21,12,0,0,0,0
,,,,,,38,8/10/21,13,0,0,0,0
,,,,,,39,8/10/21,14,0,0,0,0
,,,,,,40,8/10/21,15,0,0,0,0
,,,,,,41,8/10/21,16,0,0,0,0
,,,,,,42,8/10/21,17,0,0,0,0
,,,,,,43,8/10/21,18,0,0,0,0
,,,,,,44,8/10/21,19,0,0,0,0
,,,,,,45,8/10/21,20,0,0,0,0
,,,,,,46,8/10/21,21,0,0,0,0
,,,,,,47,8/10/21,22,0,0,0,0
,,,,,,48,8/10/21,23,0,0,0,0
,,,,,,49,8/11/21,0,0,0,0,0
,,,,,,50,8/11/21,1,0,0,0,0
,,,,,,51,8/11/21,2,0,0,0,0
,,,,,,52,8/11/21,3,0,0,0,0
,,,,,,53,8/11/21,4,0,0,0,0
,,,,,,54,8/11/21,5,0,0,0,0
,,,,,,55,8/11/21,6,0,0,0,0
,,,,,,56,8/11/21,7,0,0,0,0
,,,,,,57,8/11/21,8,0,0,0,0
,,,,,,58,8/11/21,9,0,0,0,0
,,,,,,59,8/11/21,10,0,0,0,0
,,,,,,60,8/11/21,11,0,0,0,0
,,,,,,61,8/11/21,12,0,0,0,0
,,,,,,62,8/11/21,13,0,0,0,0
