Region,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,2.171598740838202e6,3.4718913828445617e6,2.5949432998562246e6,290.0000000000001,257419.35465119977,0.0
IME,3.0047655762797e6,8.81367183245935e6,5.266035318054764e6,0.0,26384.687400960003,0.0
JL,1.854052039661661e6,3.611877615633332e6,6.183740984582435e6,0.0,1.3598848585479602e6,0.0
LN,1.9436712914718878e6,1.006834744379759e7,4.647819885196621e6,0.0,288795.34639871994,6.987857604713617e6
SD,0.0,0.0,0.0,0.0,0.0,0.0
JB,0.0,0.0,0.0,0.0,0.0,0.0
