STOR,SOLAR,COAL,WIND,HYDRO
0.0,0.0,11081.812723626274,0.0,1406.3583163800001
0.0,0.0,11657.443327252538,0.0,599.1491527537321
0.0,0.0,10521.025000000001,0.0,1735.567480006268
0.0,0.0,11089.234163626272,0.0,1167.3583163800001
0.0,75.0,11743.5676527514,0.0,438.024827254869
0.0,900.0,11458.362402,0.0,1896.6918055051312
0.0,2145.0,11943.6235589325,0.0,1167.3583163800001
0.0,3015.0,11307.7438289325,0.0,1167.3583163800001
0.0,4110.0,10877.384440857499,0.0,1167.3583163800001
0.0,5445.0,10521.025000000001,90.0,1167.3583163800001
0.0,6945.0,10480.49391184947,360.0,1167.3583163800001
0.0,8415.0,9341.275000000001,1125.0,0.0
0.0,8070.0,9341.275000000001,1800.0,0.0
0.0,7665.0,10232.993422680924,1845.0,0.0
0.0,6375.0,10521.025000000001,1575.0,431.21729620000224
0.0,3975.0,10521.025000000001,1979.9999999999998,864.6242856999982
0.0,1635.0000000000005,10932.58529562,3959.9999999999995,1167.3583163800004
0.0,645.0,11253.210945619998,4320.0,1167.3583163800004
0.0,150.0,12569.5,1260.0,2701.9610319999992
0.0,0.0,12569.5,1350.0,3355.6051719999996
868.3964579519406,0.0,12569.5,2025.0,1389.8590640480588
0.0,0.0,12740.351717840556,1440.0,1762.957997471944
0.0,0.0,12505.4255292575,540.0,1167.3583163800001
0.0,0.0,11744.60245362627,270.0,1167.3583163800001
0.0,0.0,11361.39904331582,135.0,1167.3583163800001
0.0,0.0,11187.39699331582,90.0,1167.3583163800001
0.0,0.0,11808.76898663164,90.0,545.9863230641806
0.0,0.0,10521.025000000001,135.0,1788.7303096958196
0.0,15.0,12204.75530969582,225.0,0.0
0.0,480.0,12421.897812801577,180.0,1712.4178226950019
0.0,1470.0,12444.375,90.0,1756.3204689124993
0.0,3315.0,11381.039865,90.0,1200.6949739124993
0.0,5385.0,10521.025000000001,90.0,939.7370520124991
0.0,6870.0,10521.025000000001,0.0,239.52146760265896
0.0,7395.0,10521.025000000001,0.0,1034.3135245026597
0.0,7080.0,10521.025000000001,0.0,0.0
0.0,6465.0,10521.025000000001,0.0,0.0
0.0,5115.0,11274.390242872976,0.0,756.5423860395222
0.0,3840.0,12444.375,45.0,660.4437845026603
334.2838318765573,2625.0,13070.0,0.0,1167.3583163800004
1702.652537022659,1770.0,13070.0,0.0,1167.3583163800004
2375.0,840.0,13070.0,0.0,1167.3583163800004
1289.4879071653177,180.0,13070.0,0.0,2192.0217762373422
1248.5362817414727,0.0,13070.0,0.0,3106.9839205
2375.0,0.0,13070.0,135.0,1316.891763402659
462.95753329000036,0.0,13070.0,270.0,2215.1886856224996
0.0,0.0,13070.0,90.0,1546.6554361375004
0.0,0.0,12569.5,0.0,1167.3583163800001
0.0,0.0,12569.5,0.0,1167.3583163800001
0.0,0.0,12569.5,0.0,1107.7453247931194
0.0,0.0,12569.5,45.0,187.82465250171003
0.0,0.0,12569.5,225.0,7.824652501710034
0.0,15.0,12569.5,1485.0,0.0
0.0,345.0,12569.5,2655.0,0.0
0.0,975.0,12569.5,494.99999999999994,1796.7507860886644
0.0,1695.0,12569.5,90.0,1814.415846200001
0.0,2400.0,12569.5,90.0,2081.722420799999
0.0,3120.0,12569.5,90.0,1726.4115991921392
0.0,3690.0,12569.5,270.0,2656.374202902661
0.0,3975.0,12569.5,540.0,77.14297619999888
0.0,4230.0,12569.5,765.0,0.0
0.0,4710.0,12569.5,630.0,0.0
0.0,5070.0,12569.5,404.99999999999994,879.0760299915664
0.0,4545.0,12569.5,225.0,634.1362545284339
510.0377539226597,3105.0,13070.0,90.0,1167.3583163800004
1264.681050765697,1530.0,12944.875,0.0,1896.9058295369632
1439.5394000022825,390.0,12720.0,0.0,2390.643720300377
2375.0,0.0,12720.0,135.0,2297.226110302661
351.57033260265985,0.0,12557.39492232,1575.0000000000002,2625.60760538
0.0,0.0,12035.733059819999,3735.0,1167.3583163800001
0.0,0.0,11096.887316496824,4365.0,39.69055970317618
0.0,0.0,11544.875,2565.0,238.65669530170976
0.0,0.0,11544.875,855.0,1340.9859727701198
0.0,0.0,11544.875,180.0,1843.6682553999997
0.0,0.0,11544.875,225.0,1416.886255399999
0.0,0.0,11544.875,630.0,1011.8862553999991
0.0,90.0,11544.875,1440.0,111.88625539999907
0.0,1080.0,11544.875,945.0000000000001,1811.3150204000005
0.0,2760.0,11544.875,135.0,2024.0602847624998
0.0,5025.0,9796.5976555,45.0,1834.547609262498
0.0,7020.0,9621.525,0.0,1055.8766024624974
0.0,8490.0,9621.525,0.0,0.0
0.0,9405.0,9621.525,0.0,422.5166279921377
0.0,9780.0,9621.525,0.0,0.0
0.0,9540.0,9621.525,0.0,0.0
0.0,8835.0,9621.525,0.0,1186.2341547027072
0.0,7620.0,9621.525,0.0,965.9308295026585
0.0,5640.0,11448.607285802707,0.0,1167.3583163800004
1247.1555347436076,3495.0,11670.0,0.0,2554.364162459052
1219.7234011663268,1620.0,11670.0,180.0,3963.3391160363335
2375.0,435.0,9973.43006740171,3555.0,1525.3216706446162
0.0,0.0,7317.400000000002,10710.0,513.7406172026576
0.0,0.0,5829.992207128219,13185.0,0.0
0.0,0.0,6032.400000000001,12869.999999999998,0.0
0.0,0.0,5180.896187130923,13140.0,0.0
0.0,0.0,6032.400000000001,9765.0,782.1009646973425
0.0,0.0,6032.400000000001,6795.0,1167.3583163800004
414.82541502170875,0.0,7212.15,4410.0,1167.3583163800004
2375.0,0.0,7549.667098641709,945.0000000000001,2334.6666327600014
1740.233731401711,0.0,6788.1,135.0,4541.0
2380.6841925217086,60.0,5636.291222500001,3959.9999999999995,1167.3583163800001
0.0,0.0,3816.4500000000007,11335.85446842808,261.97808797363496
0.0,2460.0,3816.4500000000007,8152.821916363642,2072.7385447863653
0.0,4620.0,3816.4500000000007,15104.717429090913,1167.3583163800001
0.0,0.0,3816.4500000000007,23181.832188918423,0.0
0.0,0.0,3816.4500000000007,23941.84811267375,0.0
0.0,8715.0,3816.4500000000007,16576.014932273752,0.0
0.0,4447.084943677524,3816.4500000000007,13545.0,128.4832655199998
0.0,2835.0,6253.92938977,7605.0,1167.3583163800004
2447.6194547699993,2220.0,8124.5,3690.0,1167.3583163800004
4388.624724061948,1650.0,8724.44290732615,135.0,2792.779070417303
4240.0,2760.0,9340.0,0.0,1542.805224905319
1494.5688413402809,1980.0,9340.0,2925.0,2668.5656029573797
0.0,420.0,8651.74361530532,9630.0,0.0
0.0,45.0,6944.750000000001,11160.0,0.0
570.8360253053211,0.0,9340.0,8325.0,0.0
1691.6959365053199,0.0,9340.0,4005.0,2704.437436
3275.043337120721,0.0,9340.0,2565.0,1696.4847987292796
0.0,0.0,9340.0,2565.0,3323.755256204453
0.0,0.0,9340.0,3510.0,1042.2590824020904
0.0,0.0,8889.029901904181,4275.0,0.0
0.0,0.0,9112.449006082225,3735.0,0.0
0.0,0.0,9011.92995770418,3645.0,0.0
0.0,0.0,9340.0,2745.0,571.9299577041797
754.5716413241794,0.0,9340.0,1395.0,1167.3583163800004
1886.214944804181,360.0,9340.0,180.0,3181.7837025
4666.932341463678,1170.0,9340.0,0.0,753.6748201863224
2375.0,2220.0,9340.0,45.0,1775.9441916499993
417.5174773663197,4290.0,7368.412467,1215.0,3498.98055118368
0.0,7800.0,4915.125000000001,4230.0,1167.3583163800001
0.0,8985.0,3193.2250000000004,7844.464811998674,0.0
0.0,9285.0,1072.975,5256.976000190001,2334.7166327600003
0.0,0.0,1072.975,15412.097226570004,1167.3583163800001
0.0,0.0,1072.975,22595.46499497,1167.3583163800001
0.0,0.0,1072.975,15800.22999681867,1167.3583163800001
0.0,0.0,1072.975,17379.16349319867,0.0
0.0,0.0,1072.975,16947.349083718673,1167.3583163800001
0.0,0.0,0.0,18861.97217009867,0.0
0.0,0.0,0.0,18120.68491009867,0.0
0.0,0.0,0.0,18745.67524009867,0.0
4240.0,0.0,0.0,10558.949310958671,3502.07494914
0.0,0.0,0.0,16654.22796165,0.0
0.0,0.0,0.0,13430.469100189997,2334.7166327600003
0.0,0.0,0.0,12858.244872524181,1167.3583163800001
0.0,0.0,0.0,12292.250048222091,1167.3583163800001
0.0,0.0,0.0,13706.09377460171,0.0
0.0,0.0,0.0,16078.052436170132,0.0
2375.0,0.0,0.0,7570.0698412620895,3502.07494914
0.0,0.0,0.0,12020.16618822209,1167.3583163800001
0.0,0.0,0.0,14032.52894662209,1167.3583163800001
0.0,0.0,0.0,16071.694309090908,500.21377847159056
0.0,0.0,0.0,14997.551773274088,1834.5028542884097
0.0,0.0,0.0,17093.6505279075,1167.3583163800001
0.0,0.0,0.0,21722.10808086443,0.0
0.0,0.0,0.0,20491.964955396008,0.0
0.0,0.0,0.0,18361.2944277875,0.0
0.0,0.0,0.0,18047.5796877875,0.0
2375.0,0.0,0.0,11254.147102042498,4669.4332655200005
0.0,0.0,0.0,25078.059456596005,0.0
0.0,0.0,0.0,24783.95656276443,0.0
0.0,0.0,0.0,19652.658633496012,0.0
6615.0,0.0,0.0,8024.459047976009,4669.4332655200005
0.0,0.0,0.0,21086.70251181818,0.0
178.6599263600081,0.0,0.0,19007.488417136003,0.0
0.0,0.0,0.0,14485.863398221793,3502.07494914
0.0,0.0,0.0,15833.2634911825,1167.3583163800001
1181.9128738007532,0.0,0.0,14580.0,226.70114387999888
0.0,0.0,0.0,12880.07784572171,1869.0154888800014
