Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,273693.64999999997,261017.36281857162,12676.287181428343,0.04631560571985629
IME,825411.2759999998,771021.2814594283,54389.99454057161,0.06589441666480411
JL,287673.88999999996,287673.8900000001,-1.0186340659856796e-10,-3.54093333248172e-16
LN,452866.18000000005,448435.944404075,4430.235595925071,0.009782659407079307
SD,0.0,0.0,0.0,NaN
JB,0.0,0.0,0.0,NaN
