Index,Path,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168
1,HL_to_IME,158.7731367834799,727.6587837010228,3160.6749707345703,3636.077528887085,4472.325,4472.325,2456.4591325615716,2578.7856656737663,1408.4496370052568,0.0,2889.915972729801,625.8556582092765,0.0,1467.545096191636,2669.1992482419823,3418.036490662533,3240.885357356158,4472.325,3226.9967905695107,4472.325,3190.9943979279915,1620.451570098691,466.18344366100797,0.0,0.0,0.0,0.0,0.0,33.965041748991,711.5401300404995,0.0,0.0,0.0,3240.76077340283,1901.996797364574,2596.894665547763,2628.8080362719816,0.0,0.0,693.3458373989832,2187.272461326065,1155.2947010922114,2190.424646727579,0.0,0.0,481.20686529361114,246.396368813383,0.0,0.0,0.0,0.0,1177.2843309249224,893.2814144315398,212.3394583200107,0.0,1296.4263199571076,3382.994975788999,274.65943813455664,2928.939014687184,4472.325,2108.846999598509,4472.325,3834.563872075496,3627.467422096767,4472.325,4472.325,4472.325,3311.260021255902,2872.2780415853213,3844.40621379355,0.0,0.0,0.0,0.0,1021.1297418393661,804.4263859648688,2322.324877665283,3351.8161496430507,4333.534907358465,3785.5770892441788,2197.799320626687,1563.7112939111066,4472.325,4472.325,2172.801457566265,4472.325,4472.325,1998.6594061895369,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,3785.7932181402443,1773.7889993032688,2540.6942444102324,4418.3718989057315,4472.325,4472.325,3607.974707784087,2432.810010062245,1775.6902204374553,1753.488674412668,831.9268426111103,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,3768.183627519474,2022.9821017910053,1500.9251046437298,1135.916051306231,0.0,0.0,0.0,0.0,0.0,0.0,3649.085032830775,1850.6032215323257,1393.041982021524,4093.709359572525,4472.325,4472.325,276.33923530307527,0.0,455.2258621671929,155.3704351887978,2461.4347639012653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.8531837960502,4472.325,801.2653653908044,496.86714121864566,767.9472872504673,1762.4868122086455,4472.325,4472.325,4472.325,4472.325,4472.325,4273.526869342359,1568.4178682593194,4472.325,4472.325,4472.325,1073.7774685814518,0.0
2,HL_to_JL,3503.0627210263024,0.0,1312.734575674094,0.0,0.0,2165.1485051275013,1178.669117729001,0.0,21.386491255612082,3179.132161859074,735.7424253446205,3576.06,3576.06,0.0,365.77029783670014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.4107040696468,137.12106970325112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.47556420019825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.2515930428478,686.0548554537083,0.0,1794.2033942103112,3576.06,3576.06,3576.06,3576.06,3576.06,3337.698862186472,947.0820767950349,856.7255236475484,1289.1227159329085,2356.711945563283,3576.06,989.8828078410123,2101.995277333112,3120.6402458934213,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,2406.5624966086975,1823.4553296766,3281.636319358877,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,2824.7827244941755,2003.7472613845537,3576.06,0.0,0.0,0.0,0.0,2134.609804932602,3576.06,0.0,3576.06,2786.429613781063,2817.872161440374,3576.06,838.4824261543523,510.04369945648136,228.23874853552502,1149.7016741781988,0.0,0.0,3576.06,2940.652842178785,2657.7781698737354,0.0,657.9529234639201,0.0
3,IME_to_JL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.4738639233652,389.3438728638716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.3207967660219,406.3214354018068,0.0,0.0,0.0,0.0,0.0,0.0,1211.6184003181431,0.0,0.0,0.0,3276.1405631105945,4578.876965160834,7462.551686339584,5485.503073595369,2658.068456254525,6469.907574544814,5420.811238203914,3698.610401420999,8318.52,8100.739173867458,7480.212106852758,8318.52,8318.52,8318.52,8318.52,8318.52,8318.52,8318.52,7807.436854026634,6700.586444511937,1714.240233745623,0.0,7742.782579616471,8318.52,8318.52,8318.52,8318.52,8318.52,8318.52,7578.483549506365,5732.369933810363,7005.625471037365,5483.831991957001,2130.288073581001,8318.52,3745.9239271534557,1809.9574393777493,4222.97874357356,4334.202963782107,5354.802442793439,6086.989827115263,8318.52,4275.693535811422,4653.890103542934,0.0,0.0,0.0,0.0,0.0,0.0,820.6296168944473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IME_to_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,JL_to_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.86416574893093,640.4183802935582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.39642801976197,460.9742749524079,1820.7238214530987,2281.4014736482254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.005067794501029,2889.1144905875003,1421.6178451930023,0.0,0.0,0.0
6,IME_to_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LN_to_JB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
