Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,93631.88132741867,441904.9011218221,648802.4937808973,789623.3848061382,0.0,47562.90876959997,
IME,273748.66795741604,546470.962555101,1.6438512194543728e6,2.1859221186250495e6,,7248.648300800006,
JL,89447.67196060177,349769.3156904045,682706.6367704046,2.1912074697978096e6,,187944.68893718015,
LN,157026.16639270846,544935.0187477304,1.618187241079227e6,1.75661693e6,150.0,40697.56701696,1.6456170461422382e6
SD,,,0.0,,,,
JB,,,0.0,,,,
