STOR,SOLAR,COAL,WIND,GAS,HYDRO
0.0,0.0,9758.773458470001,617.9,145.0,0.0
0.0,0.0,9783.661058470001,484.3,145.0,0.0
0.0,0.0,9427.401818643302,893.4499999999999,145.0,0.0
0.0,0.0,9529.10463847,985.3,145.0,0.0
0.0,0.0,10156.894438469999,768.1999999999999,145.0,0.0
0.0,0.0,11369.0,501.0,145.0,263.3419890000007
0.0,210.0,11369.0,342.35,145.0,284.4100430000001
0.0,1234.8,11369.0,208.75,145.0,191.09400400000004
0.0,2234.4,11369.0,125.25,145.0,673.9757599999998
0.0,2757.962251900007,11253.025,551.1,145.0,277.79396190999284
0.0,3200.4,10986.903111719992,1269.2000000000003,145.0,194.8443020900071
0.0,3322.2000000000003,10135.53886847,1761.85,145.0,0.0
0.0,3225.5999999999995,8880.454868469998,1887.1000000000001,145.0,0.0
0.0,2902.2,9526.02276847,1736.8,145.0,0.0
0.0,2276.4,10462.33801847,1528.0499999999997,145.0,0.0
0.0,1457.3999999999999,11369.0,1260.8500000000001,145.0,191.09400400000004
0.0,508.2,11369.0,1093.8500000000001,145.0,191.09400400000004
0.0,0.0,11369.0,1336.0,145.0,207.14769300000012
0.0,0.0,11369.0,1102.2,145.0,175.04031499999996
0.0,0.0,11369.0,684.7,145.0,235.63934400000016
0.0,0.0,11369.0,334.0,145.0,337.59266800000023
0.0,0.0,11369.0,158.65,145.0,429.37653
0.0,0.0,11369.0,37.80479090909094,145.0,797.217474
0.0,0.0,10633.949929810002,33.4,145.0,111.1140239999998
0.0,0.0,10040.23339844,25.05,145.0,0.0
0.0,0.0,9968.50989844,16.7,145.0,0.0
0.0,0.0,9976.85989844,8.35,145.0,0.0
0.0,0.0,9985.209898440002,0.0,145.0,0.0
0.0,0.0,10327.777198439999,0.0,145.0,0.0
0.0,0.0,11369.0,0.0,145.0,191.09400400000004
0.0,210.0,11369.0,0.0,145.0,382.13800800000035
0.0,1012.1999999999999,11369.0,0.0,145.0,731.8627623118173
0.0,1938.541602181819,11369.0,0.0,145.0,304.99174428818174
0.0,2654.4,11271.5730504,50.1,145.0,0.0
0.0,3032.4,11181.186329,167.0,145.0,300.8535214000007
0.0,3120.6,10883.67196844,292.25,145.0,0.0
0.0,3045.0,10025.293835036737,442.55,145.0,0.0
0.0,2763.6,10365.442500000001,542.75,145.0,0.0
0.0,2213.4,10721.60320844,542.75,145.0,0.0
0.0,1486.8,11369.0,275.55,145.0,226.69691800000055
0.0,562.8000000000001,11369.0,158.65,145.0,179.02054499999986
0.0,0.0,11369.0,208.75,145.0,167.56454899999972
0.0,0.0,11369.0,509.34999999999997,145.0,382.13800800000035
0.0,0.0,11369.0,1085.5,145.0,349.5408720754549
0.0,0.0,11369.0,1620.0134545454544,145.0,877.0531319245451
0.0,0.0,10358.344402470002,2496.65,145.0,191.09400399999998
0.0,0.0,9198.6496704,2797.25,145.0,0.0
0.0,0.0,8244.9949404,2404.7999999999997,145.0,0.0
0.0,0.0,9069.85250097,1160.65,145.0,0.0
0.0,0.0,9533.087474910002,475.95000000000005,145.0,128.51802605999893
0.0,0.0,9872.817500000001,233.8,145.0,30.93800097000019
0.0,0.0,10054.05550097,83.5,145.0,0.0
0.0,0.0,10342.942500000001,25.05,145.0,142.75200097000055
0.0,0.0,11369.0,25.05,145.0,191.09400400000004
0.0,168.0,11369.0,41.75,145.0,191.09400400000004
0.0,995.4,11369.0,0.0,145.0,382.13800800000035
0.0,1818.6,11369.0,8.349999999999909,145.0,0.04999999999972715
0.0,1428.0,11369.0,308.95,145.0,226.49054800000044
0.0,1108.8,11369.0,1194.05,145.0,155.69745999999964
0.0,844.2,11369.0,1135.6000000000001,145.0,191.09400400000004
0.0,680.4,11369.0,885.1,145.0,289.9602580000005
0.0,583.8000000000002,11369.0,584.5,145.0,92.22774999999956
0.0,508.2,11369.0,208.75000000000006,145.0,191.09400400000004
0.0,348.6,11369.0,141.95000000000002,145.0,360.0689190000003
0.0,126.0,11369.0,342.35,145.0,22.119088999999803
0.0,0.0,11369.0,509.34999999999997,145.0,191.09400400000004
0.0,0.0,11369.0,592.8499999999999,145.0,382.13800800000035
0.0,0.0,11369.0,651.3,145.0,191.09400400000004
0.0,0.0,11369.0,567.8000000000001,145.0,191.09400400000004
0.0,0.0,11369.0,430.3080590909091,145.0,1035.5
0.0,0.0,11151.50941831,617.9,145.0,191.09400399999998
0.0,0.0,9860.310792310001,743.15,145.0,0.0
0.0,0.0,9332.923458470003,1043.75,145.0,0.0
0.0,0.0,8798.36105847,1469.6,145.0,0.0
0.0,0.0,8305.711058470002,1962.25,145.0,0.0
0.0,0.0,8136.817500000001,2279.55,29.0,0.0
0.0,0.0,8379.836834470001,2187.7000000000003,145.0,111.11402399999974
0.0,0.0,10523.10814981,1895.45,145.0,191.09400400000004
0.0,113.39999999999998,11369.0,943.5500000000001,145.0,191.09400400000004
0.0,575.4000000000001,11369.0,125.25,145.0,305.2562520000006
0.0,1394.4,11369.0,125.25,145.0,267.9757599999998
0.0,2507.4,11369.0,133.5999999999999,145.0,191.09400400000004
0.0,3066.0,11369.0,125.25,145.0,297.103222984545
0.0,3182.8660754545454,11369.0,200.4,145.0,467.32279301545486
0.0,3124.8,10325.604868469998,542.75,145.0,0.0
0.0,2793.0,10411.77276847,960.25,145.0,0.0
0.0,2234.4,10905.138018470001,1127.25,145.0,0.0
0.0,1440.6000000000001,11369.0,893.45,145.0,191.09400400000004
0.0,525.0,11369.0,918.5,145.0,191.09400400000004
0.0,0.0,11369.0,1511.35,145.0,191.09400400000004
0.0,0.0,11369.0,2505.0,145.0,382.13800800000035
0.0,0.0,11369.0,2856.658781818182,145.0,1035.5
0.0,0.0,10870.2579347,3732.4500000000003,145.0,111.1140239999998
0.0,0.0,9142.173908700002,4291.900000000001,145.0,0.0
0.0,0.0,8136.817500000001,4291.900000000001,29.0,0.0
0.0,0.0,7642.2575338100005,3498.6499999999996,29.0,0.0
0.0,0.0,9482.8888219,2104.2,145.0,0.0
0.0,0.0,10630.2831219,860.05,145.0,0.0
0.0,0.0,11040.389117899998,258.85,145.0,191.09400400000004
0.0,0.0,11290.889117899998,8.35,145.0,191.09400400000004
0.0,0.0,11369.0,0.0,145.0,191.09400400000004
0.0,0.0,11369.0,0.0,145.0,191.09400400000004
0.0,231.0,11369.0,0.0,145.0,382.13800800000035
0.0,1104.6000000000001,11369.0,0.0,145.0,0.04999999999972715
0.0,1822.8,11369.0,0.0,145.0,191.09400400000004
0.0,2238.6,11369.0,16.7,145.0,191.09400400000004
0.0,2637.6,11369.0,41.75,145.0,191.09400400000004
0.0,2784.6000000000004,11369.0,300.59999999999997,145.0,191.09400400000004
0.0,2814.0,11369.0,409.15000000000003,145.0,191.09400400000004
0.0,2549.4,11369.0,308.95,145.0,191.09400400000004
0.0,2032.8,11369.0,141.95000000000002,145.0,191.09400400000004
0.0,1255.8,11369.0,33.4,145.0,217.02067100000045
0.0,386.4,11369.0,8.35,145.0,244.79649999999992
0.0,0.0,11369.0,75.14999999999999,145.0,302.50884500000006
0.0,0.0,11369.0,885.1,145.0,191.09400400000004
0.0,0.0,11369.0,2421.5,145.0,191.09400400000004
0.0,0.0,11369.0,3209.9608136363636,145.0,1035.5
0.0,0.0,9696.710982060002,4617.55,145.0,191.09400399999998
0.0,0.0,8195.168274790001,4976.599999999999,145.0,191.09400399999998
0.0,0.0,7621.840908790002,4726.099999999999,29.0,0.0
0.0,0.0,7945.839062790002,4083.15,29.0,0.0
0.0,0.0,7847.418762790002,4091.5,29.0,0.0
0.0,0.0,7905.868762790003,4033.0499999999997,29.0,0.0
0.0,0.0,8136.817500000001,3799.25,29.0,0.0
0.0,0.0,8136.817500000001,3757.5,63.99527879000033,111.11402399999974
0.0,0.0,9932.278157130002,3832.65,145.0,191.09400400000004
0.0,12.6,11414.0063766,3490.2999999999997,145.0,191.09400400000004
0.0,142.8,12120.087776600001,2454.8999999999996,145.0,191.09400400000004
0.0,289.79999999999995,13169.7847766,1728.4499999999998,145.0,191.09400400000004
0.0,512.4,13126.5,1336.0,145.0,785.0770811299999
0.0,1083.6000000000001,13316.61845426,1469.5999999999997,145.0,632.5609268700005
0.0,2578.7999999999997,11385.005000000001,2271.2000000000003,145.0,0.0
0.0,2709.0,9679.369342790002,2588.5,145.0,0.0
0.0,1566.6000000000004,10942.133095858815,2630.25,145.0,0.0
0.0,688.8000000000001,11707.75658279,2839.0,145.0,0.0
0.0,512.3999999999996,11607.380000000001,3699.05,145.0,0.0
0.0,231.0,12142.966253730003,4241.8,145.0,1014.8459273999989
0.0,0.0,12070.7876476,4801.25,145.0,277.54207300000144
0.0,0.0,10428.7003206,5744.799999999999,145.0,0.0
0.0,0.0,10604.846384999999,5544.400000000001,145.0,427.45803559999956
0.0,0.0,10162.9919166,5652.950000000001,145.0,191.09400399999998
0.0,0.0,8753.05643665,5953.549999999999,145.0,93.14942395000094
0.0,0.0,7924.404221129999,5769.849999999999,145.0,0.0
0.0,0.0,6502.692499999999,5385.75,145.0,392.2438611299997
0.0,0.0,6627.817499999999,5218.75,145.0,27.075727119999215
