Week,Zone 1 Max NSE MW,Zone 2 Max NSE MW,Zone 3 Max NSE MW,Zone 4 Max NSE MW,Zone 5 Max NSE MW,Zone 6 Max NSE MW
1,0.0,3859.5862749200005,0.0,0.0,386.7003468142002,226.29097226749082
2,0.0,2428.0558514399995,0.0,0.0,306.46857066605025,0.0
3,0.0,1710.1721739600007,0.0,0.0,292.6322107255396,0.0
4,304.9389369652531,6695.7587104936365,0.0,1292.5829651497886,313.2466319829805,255.5696795376998
5,84.18061911053508,7564.508749990002,0.0,1833.4500838205477,306.09398420790967,255.51603248509946
6,695.9233269779303,7463.153787700002,0.0,1811.1043673870004,308.40229522762047,252.88271590290015
7,1325.364585574157,6309.318268510001,0.0,1220.8607856149983,296.8877692803899,246.89067446829995
8,4382.481846399998,6385.232061178183,0.0,0.0,293.5331966241406,0.0
9,6255.22846479,104.39169108599367,0.0,0.0,281.08919275726976,0.0
10,1375.5547885000015,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
