Region,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12
HL,-4.517706061270303e-16,0.0,1.1970087134357322e-16,8.088812492578226e-16,0.0009138518856983155,0.0008222396241191376,0.008660991092957818,-2.3105209703175795e-16,-1.1650890177684196e-16,2.426374677712613e-16,0.0013751227789232238,0.0
IME,1.751461794075284e-16,6.668895034815048e-16,0.0,2.984181128784746e-16,0.003564565986242603,0.0018521059130198073,0.012301878061008091,1.301704522620061e-16,0.0,0.0,-3.89478871139738e-16,0.0015602836879430545
JL,-1.5946598340596047e-16,0.0,4.820903079262725e-16,1.1627746326648608e-16,-4.0577820605410704e-16,9.689609508727561e-5,0.0007644480684944612,-3.8381856049178363e-16,-3.061960501145791e-16,2.4296683110045067e-16,-3.4787062418104233e-16,-6.085009664358043e-16
LN,0.0,3.84106706593554e-16,3.6396971991318524e-16,0.0,-4.032897803985906e-16,4.1751816907136533e-16,0.0014829630225209867,-2.2318344120698364e-16,1.3441360456461038e-16,0.0,0.0,-2.330055282831779e-16
SD,,,,,,,,,,,,
JB,,,,,,,,,,,,
