Region,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,2.1269001139398008e6,4.836544749854965e6,2.586334407109541e6,454.00000000000006,256653.22561949978,0.0
IME,2.9354269249608535e6,9.9369599371474e6,5.125643879535528e6,0.0,26306.1615456,0.0
JL,1.430810216791672e6,2.8440660085952515e6,4.857889002533971e6,0.0,1.3008263596319046e6,0.0
LN,1.9406428685031636e6,1.0495644506966887e7,4.647943823702991e6,300.00000000000006,288795.34639871994,6.978045226328183e6
SD,0.0,0.0,0.0,0.0,0.0,0.0
JB,0.0,0.0,0.0,0.0,0.0,0.0
