Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,873380.18,873380.1799999998,2.3283064365386963e-10,2.6658567366833263e-16
IME,1.282958452e6,1.2732125470625765e6,9745.90493742365,0.007596430673363418
JL,1.621635e6,1.3054689449530388e6,316166.05504696124,0.19496745879742436
LN,1.726461265e6,1.7264612649999992e6,7.566995918750763e-10,4.382951458080216e-16
SD,0.0,0.0,0.0,NaN
JB,0.0,0.0,0.0,NaN
