Region,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,2.1354468581076805e6,5.228341841406018e6,2.5989119242849727e6,438.0000000000001,256525.06942817968,0.0
IME,2.9248816281131143e6,1.0230739236033583e7,5.174139692950411e6,0.0,26070.583979519994,0.0
JL,1.4629641994241283e6,3.0728408300313116e6,4.958806002842736e6,0.0,1.3258663177840095e6,0.0
LN,1.9435471780513637e6,1.165152556748355e7,4.645003935319998e6,300.0,288795.34639871994,6.969450799831079e6
SD,0.0,0.0,0.0,0.0,0.0,0.0
JB,0.0,0.0,0.0,0.0,0.0,0.0
