Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,63,12230.1112,9586.5885,9470.0342,30979.2338,3782.54912,2413.529497
,,,,,64,12507.5242,9816.2983,9696.9512,31181.2203,3243.324717,2548.341855
,,,,,65,14068.37,10017.1954,9895.4058,31039.9269,3578.258892,2706.291727
,,,,,66,13602.8833,9835.4088,9715.8294,30110.33,3578.258892,2706.291727
,,,,,67,12674.8177,9421.6788,9307.1295,29677.172,3578.258892,2706.291727
,,,,,68,13058.1879,9770.5007,9651.7105,30238.1384,3578.258892,2706.291727
,,,,,69,12516.5417,9522.3305,9406.5575,30478.9354,3578.258892,2706.291727
,,,,,70,11515.6393,8995.4146,8886.0479,32400.2914,3243.324717,2706.291727
,,,,,71,10493.5786,8237.4641,8137.3125,30420.5593,3243.324717,2706.291727
,,,,,72,9514.1533,7592.5489,7500.2383,28566.6964,3243.324717,2706.291727
,,,,,73,9134.2346,7121.5446,7034.9605,27089.5719,3206.54767,2488.959462
,,,,,74,9042.786,6987.2587,6902.3073,26610.1625,3206.54767,2371.948753
,,,,,75,9042.786,6987.2587,6902.3073,26021.1939,3206.54767,2371.948753
,,,,,76,9042.786,6987.2587,6902.3073,26021.1939,3206.54767,2371.948753
,,,,,77,9397.1247,6987.2587,6902.3073,26021.1939,3206.54767,2371.948753
,,,,,78,11005.0134,7950.5571,7853.8938,26824.6098,3206.54767,2371.948753
,,,,,79,12025.5517,8545.4298,8441.534,27964.5913,3206.54767,2488.959462
,,,,,80,11836.0806,8684.6818,8579.093,27636.2119,3206.54767,2488.959462
,,,,,81,12283.5435,9259.8027,9147.2215,28942.5973,3206.54767,2488.959462
,,,,,82,12554.6638,9687.637,9569.8542,30332.3472,3206.54767,2488.959462
,,,,,83,13261.0957,10513.8454,10386.0175,30882.9273,3730.774883,2488.959462
,,,,,84,13070.8115,9606.2516,9489.4583,30065.8408,3730.774883,2488.959462
,,,,,85,12003.1242,9438.3254,9323.5738,29537.7844,3730.774883,2371.948753
,,,,,86,12152.746,9649.0198,9531.7065,30231.7388,3730.774883,2371.948753
,,,,,87,12128.9188,9552.6564,9436.5146,30313.7002,3730.774883,2371.948753
,,,,,88,12406.5473,9785.1787,9666.2099,30499.2298,3206.54767,2488.959462
,,,,,89,13968.3209,9988.5354,9867.0943,30369.4483,3532.013636,2628.018397
,,,,,90,13502.7577,9804.5231,9685.3192,29515.5902,3532.013636,2628.018397
,,,,,91,12573.9708,9385.7276,9271.6155,29117.7237,3532.013636,2628.018397
,,,,,92,12957.6391,9738.8204,9620.4153,29632.9854,3532.013636,2628.018397
,,,,,93,12415.5718,9487.6116,9372.2607,29854.1634,3532.013636,2628.018397
,,,,,94,11413.8915,8954.2445,8845.3783,31663.9624,3206.54767,2628.018397
,,,,,95,10391.0365,8187.0139,8087.4758,29800.5436,3206.54767,2628.018397
,,,,,96,9410.8499,7534.2028,7442.6015,28097.7238,3206.54767,2628.018397
,,,,,97,9085.7166,7136.183,7049.4209,27155.8952,3098.69252,2497.827168
,,,,,98,8994.378,6999.1964,6914.0998,26698.1736,3098.69252,2379.891592
,,,,,99,8994.378,6999.1964,6914.0998,26142.2554,3098.69252,2379.891592
,,,,,100,8994.378,6999.1964,6914.0998,26142.2554,3098.69252,2379.891592
,,,,,101,9348.455,6999.1964,6914.0998,26142.2554,3098.69252,2379.891592
,,,,,102,10955.4161,7975.5261,7878.5593,26902.9196,3098.69252,2379.891592
,,,,,103,11975.3656,8577.8117,8473.5222,27991.33,3098.69252,2497.827168
,,,,,104,11786.0038,8718.799,8612.7954,27677.806,3098.69252,2497.827168
,,,,,105,12233.2085,9301.0867,9188.0036,28925.0925,3098.69252,2497.827168
,,,,,106,12504.1724,9734.2525,9615.9029,30251.9722,3098.69252,2497.827168
,,,,,107,13210.1968,10564.8644,10436.4162,30777.6449,3541.225939,2497.827168
,,,,,108,13020.0224,9651.8529,9534.5052,29997.5222,3541.225939,2497.827168
,,,,,109,11952.9511,9481.8341,9366.5535,29493.3543,3541.225939,2379.891592
,,,,,110,12102.4865,9695.154,9577.2798,30155.9152,3541.225939,2379.891592
,,,,,111,12078.673,9597.5898,9480.9018,30234.1687,3541.225939,2379.891592
,,,,,112,12356.1414,9833.0097,9713.4594,30411.3053,3098.69252,2497.827168
,,,,,113,13917.2258,10038.9006,9916.8471,30287.3949,3372.588483,2637.867556
,,,,,114,13451.7194,9852.5952,9732.8068,29472.164,3372.588483,2637.867556
,,,,,115,12523.4683,9428.5809,9313.9477,29092.2964,3372.588483,2637.867556
,,,,,116,12906.9152,9786.0737,9667.094,29584.2485,3372.588483,2637.867556
,,,,,117,12365.1607,9531.7345,9415.8472,29795.4208,3372.588483,2637.867556
,,,,,118,11364.0583,8991.7208,8882.399,31548.3249,3098.69252,2637.867556
