Region,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,2.16718383465296e6,5.574132089788514e6,2.602027458246293e6,48.0,257419.3546511999,0.0
IME,2.9624975360752735e6,1.0633329452090409e7,5.166265001596006e6,0.0,26044.430558079992,0.0
JL,1.454358413477806e6,3.313847437597189e6,5.078010684884304e6,0.0,1.336183157991629e6,0.0
LN,1.9440071749999998e6,1.277794396089523e7,4.645458892665453e6,450.0,288795.34639872,6.971028791028451e6
SD,0.0,0.0,0.0,0.0,0.0,0.0
JB,0.0,0.0,0.0,0.0,0.0,0.0
