Region,Week1,Week2,Week3,Week4
HL,5.844493660220402e-17,0.017156795063772788,0.008721762801506567,2.6658567366833263e-16
IME,0.0005361308831004351,0.046464505415433975,0.023597512339975073,0.0004226947307438839
JL,0.29779085458093035,0.18434958135393514,0.06459207484002168,0.17908550869575146
LN,0.0012597936475005045,4.1317833410084766e-16,3.323525932573308e-16,4.382951458080216e-16
SD,NaN,NaN,NaN,NaN
JB,NaN,NaN,NaN,NaN
