Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,63,18644.66811,17146.05729,15341.61737,46707.68338,3237.55246,2494.186789
,,,,,64,19062.11356,17114.37412,15709.55564,47023.53305,2866.943942,2634.319583
,,,,,65,21440.70463,17513.43394,16031.343,46802.59015,3095.188548,2798.4044
,,,,,66,20710.3883,18755.07044,15740.16591,45348.96371,3095.188548,2798.4044
,,,,,67,19313.85351,18452.82116,15077.47301,44671.62718,3095.188548,2798.4044
,,,,,68,19890.74147,18171.44262,15636.19927,45548.81985,3095.188548,2798.4044
,,,,,69,19075.68293,17866.34705,15238.69203,45925.35817,3095.188548,2798.4044
,,,,,70,17569.54484,17667.40069,14394.70336,49014.05669,2866.943942,2798.4044
,,,,,71,16031.56807,16425.8876,13180.65443,45834.07459,2866.943942,2798.4044
,,,,,72,14557.74822,15542.07677,12147.66022,42935.15748,2866.943942,2798.4044
,,,,,73,14057.90696,14682.43779,11337.26375,40830.68249,2886.559661,2647.467902
,,,,,74,13926.64801,14533.66748,11147.75222,40075.0133,2886.559661,2502.442226
,,,,,75,13926.64801,14533.66748,11147.75222,39166.48276,2886.559661,2502.442226
,,,,,76,13926.64801,14533.66748,11147.75222,39166.48276,2886.559661,2502.442226
,,,,,77,14455.86964,14545.9233,11147.75222,39166.48276,2886.559661,2502.442226
,,,,,78,16889.88913,15423.62952,12570.14071,40413.03589,2886.559661,2502.442226
,,,,,79,18434.77851,16666.60249,13454.81342,42209.93219,2886.559661,2647.467902
,,,,,80,18147.95749,16450.8615,13661.90396,41692.32403,2886.559661,2647.467902
,,,,,81,18825.32605,16338.66407,14517.2026,43751.51459,2886.559661,2647.467902
,,,,,82,19235.7477,16518.5837,15153.46212,45942.10855,2886.559661,2647.467902
,,,,,83,20305.14317,17302.59137,16440.63774,46809.96065,3261.157967,2647.467902
,,,,,84,20017.09131,17494.6888,15032.42878,45522.02767,3261.157967,2647.467902
,,,,,85,18400.82788,16692.23994,14782.69509,44689.67857,3261.157967,2502.442226
,,,,,86,18627.32513,16312.61203,15096.03196,45783.52449,3261.157967,2502.442226
,,,,,87,18591.25543,16726.32852,14952.72384,45912.71609,3261.157967,2502.442226
,,,,,88,19011.52912,16698.3922,15298.52249,46205.15728,2886.559661,2647.467902
,,,,,89,21402.28955,17050.25922,15600.94722,46000.58906,3117.322599,2814.241598
,,,,,90,20670.97089,18161.90025,15327.29088,44654.69486,3117.322599,2814.241598
,,,,,91,19264.97456,17878.55452,14704.4736,44027.55761,3117.322599,2814.241598
,,,,,92,19845.77107,17630.4518,15229.58012,44839.73912,3117.322599,2814.241598
,,,,,93,19025.19034,17361.43683,14855.99174,45188.37115,3117.322599,2814.241598
,,,,,94,17508.84836,17186.01786,14062.78764,48118.38867,2886.559661,2814.241598
,,,,,95,15960.45182,16091.32609,12921.79059,45103.85285,2886.559661,2814.241598
