Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
3200,1,1,1,3200,1,13249.10181,14127.95876,10431.65498,37681.65748,2753.3927,2590.216059
,,,,,2,13113.08604,13964.63466,10230.85434,36927.97898,2753.3927,2465.477045
,,,,,3,13113.08604,13964.63466,10230.85434,36004.54698,2753.3927,2465.477045
,,,,,4,13113.08604,13964.63466,10230.85434,36004.54698,2753.3927,2465.477045
,,,,,5,13637.60969,13983.40979,10230.85434,36004.54698,2753.3927,2465.477045
,,,,,6,16013.8019,14912.77287,11670.23301,37265.1111,2753.3927,2465.477045
,,,,,7,17521.9879,16228.90024,12558.99662,39057.27378,2753.3927,2590.216059
,,,,,8,17241.98119,16000.46195,12767.04479,38541.02918,2753.3927,2590.216059
,,,,,9,17903.25674,15881.66121,13626.2985,40594.79515,2753.3927,2590.216059
,,,,,10,18303.92756,16072.1699,14265.50021,42779.61836,2753.3927,2590.216059
,,,,,11,19347.91647,16902.31986,15498.90164,43645.18425,3076.357014,2590.216059
,,,,,12,19066.70811,17105.72306,14143.90719,42360.64412,3076.357014,2590.216059
,,,,,13,17488.84378,16256.04657,13893.01868,41530.4877,3076.357014,2465.477045
,,,,,14,17709.95985,15854.07589,14207.80448,42621.45206,3076.357014,2465.477045
,,,,,15,17674.7472,16292.14142,14063.83367,42750.30334,3076.357014,2465.477045
,,,,,16,18085.03608,16262.56092,14411.23137,43041.97413,2753.3927,2590.216059
,,,,,17,20389.85901,16635.13685,14715.05458,42837.94481,2951.565054,2737.953586
,,,,,18,19705.05281,17793.31373,14440.13279,41495.59615,2951.565054,2737.953586
,,,,,19,18332.46013,17512.18096,13814.43548,40870.11098,2951.565054,2737.953586
,,,,,20,18899.45796,17249.47631,14341.9702,41680.15293,2951.565054,2737.953586
,,,,,21,18098.37281,16964.62862,13966.65426,42027.86655,2951.565054,2737.953586
,,,,,22,16618.05589,16778.88549,13169.78223,44882.73479,2753.3927,2737.953586
,,,,,23,15106.44609,15619.7663,12023.50898,41943.5709,2753.3927,2737.953586
,,,,,24,13657.89335,14794.61021,11048.18287,39266.57122,2753.3927,2737.953586
,,,,,25,13237.3673,13847.29779,10586.18492,38131.94963,2810.61123,2614.794745
,,,,,26,13111.71855,13679.3637,10379.71801,37369.73516,2810.61123,2486.532905
,,,,,27,13111.71855,13679.3637,10379.71801,36433.29503,2810.61123,2486.532905
,,,,,28,13111.71855,13679.3637,10379.71801,36433.29503,2810.61123,2486.532905
,,,,,29,13611.58252,13699.47925,10379.71801,36433.29503,2810.61123,2486.532905
,,,,,30,15900.35778,14649.86378,11846.4378,37710.68555,2810.61123,2486.532905
,,,,,31,17353.05972,15995.7609,12750.75458,39523.1458,2810.61123,2614.794745
,,,,,32,17083.35403,15762.15552,12962.44355,39001.05434,2810.61123,2614.794745
,,,,,33,17720.30222,15640.6676,13836.73401,41078.08073,2810.61123,2614.794745
,,,,,34,18106.23299,15835.48544,14487.12162,43287.64866,2810.61123,2614.794745
,,,,,35,19111.81495,16684.41273,15729.76203,44163.01773,3150.987271,2614.794745
,,,,,36,18840.95182,16892.41675,14363.40075,42863.92923,3150.987271,2614.794745
,,,,,37,17321.135,16023.52125,14108.12174,42024.37068,3150.987271,2486.532905
,,,,,38,17534.11649,15612.45833,14428.41623,43127.69102,3150.987271,2486.532905
,,,,,39,17500.19927,16060.43254,14281.92596,43258.00163,3150.987271,2486.532905
,,,,,40,17895.39402,16030.18295,14635.40304,43552.97581,2810.61123,2614.794745
,,,,,41,20135.26899,16411.18626,14944.54309,43346.63571,3019.77494,2766.273816
,,,,,42,19455.81275,17592.57685,14664.81023,41989.08396,3019.77494,2766.273816
,,,,,43,18133.71584,17308.06841,14028.16335,41356.5147,3019.77494,2766.273816
,,,,,44,18679.85468,17039.42159,14564.92981,42175.73098,3019.77494,2766.273816
,,,,,45,17908.24011,16748.13088,14183.04593,42527.38272,3019.77494,2766.273816
,,,,,46,16482.3821,16558.18638,13372.22881,45404.64388,2810.61123,2766.273816
,,,,,47,15026.38241,15372.84884,12205.89603,42442.13235,2810.61123,2766.273816
,,,,,48,13631.11995,14529.02837,11213.50191,39734.81368,2810.61123,2766.273816
,,,,,49,13098.27204,13733.84658,10646.46318,38177.23458,2866.943942,2634.319583
,,,,,50,12978.4981,13572.14361,10451.82367,37421.30364,2866.943942,2494.186789
,,,,,51,12978.4981,13572.14361,10451.82367,36494.43911,2866.943942,2494.186789
,,,,,52,12978.4981,13572.14361,10451.82367,36494.43911,2866.943942,2494.186789
,,,,,53,13464.38783,13590.44738,10451.82367,36494.43911,2866.943942,2494.186789
,,,,,54,15703.62535,14512.41812,11861.47337,37759.44332,2866.943942,2494.186789
,,,,,55,17124.88525,15818.07675,12733.32546,39556.96203,2866.943942,2634.319583
,,,,,56,16861.01699,15591.4555,12937.41485,39039.17458,2866.943942,2634.319583
,,,,,57,17484.17932,15473.59972,13780.31856,41099.07842,2866.943942,2634.319583
,,,,,58,17861.75705,15662.59307,14407.35745,43290.43116,2866.943942,2634.319583
,,,,,59,18845.5743,16486.13984,15630.71301,44158.58387,3237.55246,2634.319583
,,,,,60,18580.57379,16687.92514,14288.07811,42870.20478,3237.55246,2634.319583
,,,,,61,17093.65156,15845.00714,14041.96355,42037.56736,3237.55246,2494.186789
,,,,,62,17302.02325,15446.23383,14350.75956,43131.79217,3237.55246,2494.186789
,,,,,63,17268.84016,15880.81489,14209.52825,43261.02852,3237.55246,2494.186789
,,,,,64,17655.48147,15851.46968,14550.31561,43553.571,2866.943942,2634.319583
,,,,,65,19858.55147,16221.08207,14848.35762,43348.93193,3095.188548,2798.4044
,,,,,66,19182.12666,17371.09569,14578.66709,42002.57154,3095.188548,2798.4044
,,,,,67,17888.64502,17091.14999,13964.87564,41375.21705,3095.188548,2798.4044
,,,,,68,18422.96324,16830.53495,14482.37235,42187.67988,3095.188548,2798.4044
,,,,,69,17668.04953,16547.953,14114.19798,42536.43268,3095.188548,2798.4044
,,,,,70,16273.05243,16363.6873,13332.48895,45397.20986,2866.943942,2798.4044
,,,,,71,14848.56609,15213.78798,12208.02716,42451.8851,2866.943942,2798.4044
,,,,,72,13483.5024,14395.19535,11251.25969,39766.88497,2866.943942,2798.4044
,,,,,73,13020.54544,13598.99087,10500.66402,37817.70346,2886.559661,2647.467902
,,,,,74,12898.97236,13461.19863,10325.13693,37117.79665,2886.559661,2502.442226
,,,,,75,12898.97236,13461.19863,10325.13693,36276.30842,2886.559661,2502.442226
,,,,,76,12898.97236,13461.19863,10325.13693,36276.30842,2886.559661,2502.442226
,,,,,77,13389.14165,13472.55006,10325.13693,36276.30842,2886.559661,2502.442226
,,,,,78,15643.54989,14285.48856,11642.56449,37430.87586,2886.559661,2502.442226
,,,,,79,17074.43875,15436.74003,12461.9554,39095.17553,2886.559661,2647.467902
,,,,,80,16808.78284,15236.919,12653.76431,38615.76273,2886.559661,2647.467902
,,,,,81,17436.16699,15133.00085,13445.94872,40523.00144,2886.559661,2647.467902
,,,,,82,17816.30279,15299.64385,14035.25736,42551.94701,2886.559661,2647.467902
,,,,,83,18806.7854,16025.798,15227.44967,43355.75854,3261.157967,2647.467902
,,,,,84,18539.98947,16203.72016,13923.15532,42162.86476,3261.157967,2647.467902
,,,,,85,17042.99341,15460.48563,13691.84999,41391.93639,3261.157967,2502.442226
,,,,,86,17252.77696,15108.87124,13982.06509,42405.06519,3261.157967,2502.442226
,,,,,87,17219.36891,15492.05876,13849.33196,42524.72349,3261.157967,2502.442226
,,,,,88,17608.62975,15466.18391,14169.61343,42795.58484,2886.559661,2647.467902
,,,,,89,19822.97112,15792.08595,14449.72163,42606.11213,3117.322599,2814.241598
,,,,,90,19145.61795,16821.69673,14196.25894,41359.5342,3117.322599,2814.241598
,,,,,91,17843.37294,16559.25966,13619.40062,40778.67467,3117.322599,2814.241598
,,,,,92,18381.3113,16329.46494,14105.75846,41530.92366,3117.322599,2814.241598
,,,,,93,17621.28289,16080.30113,13759.73792,41853.82942,3117.322599,2814.241598
,,,,,94,16216.83487,15917.82669,13025.06597,44567.635,2886.559661,2814.241598
,,,,,95,14782.69765,14903.91444,11968.26541,41775.5479,2886.559661,2814.241598
,,,,,96,13408.38571,14182.12855,11069.06865,39289.5405,2886.559661,2814.241598
,,,,,97,13049.34693,13309.75487,10197.90568,37138.65767,2892.268185,2592.769401
,,,,,98,12929.65237,13175.24498,10040.65405,36513.13589,2892.268185,2467.247674
,,,,,99,12929.65237,13175.24498,10040.65405,35785.00457,2892.268185,2467.247674
,,,,,100,12929.65237,13175.24498,10040.65405,35785.00457,2892.268185,2467.247674
,,,,,101,13415.35328,13185.64203,10040.65405,35785.00457,2892.268185,2467.247674
,,,,,102,15653.92146,13983.61311,11269.89802,36792.94152,2892.268185,2467.247674
,,,,,103,17074.75654,15113.66831,12039.12511,38280.36192,2892.268185,2592.769401
,,,,,104,16810.96718,14917.52629,12219.19131,37851.90039,2892.268185,2592.769401
,,,,,105,17433.9432,14815.52143,12962.87751,39556.44063,2892.268185,2592.769401
,,,,,106,17811.40798,14979.09628,13516.10817,41369.75292,2892.268185,2592.769401
,,,,,107,18794.93119,15691.88084,14678.50191,42088.13657,3254.136962,2592.769401
,,,,,108,18530.00989,15866.5272,13410.86911,41022.02175,3254.136962,2592.769401
,,,,,109,17043.53205,15136.97673,13193.72449,40333.02648,3254.136962,2467.247674
,,,,,110,17251.84163,14791.83608,13466.17237,41238.48148,3254.136962,2467.247674
,,,,,111,17218.66837,15167.96854,13341.56528,41345.42267,3254.136962,2467.247674
,,,,,112,17605.19418,15142.57009,13642.23884,41587.49729,2892.268185,2592.769401
,,,,,113,19807.76689,15462.47178,13905.19857,41418.16145,3114.997814,2741.34125
,,,,,114,19131.38296,16475.55425,13667.25309,40304.06795,3114.997814,2741.34125
,,,,,115,17838.28802,16215.52068,13125.71053,39784.9413,3114.997814,2741.34125
,,,,,116,17901.23389,15989.95683,13582.29313,40457.2424,3114.997814,2741.34125
,,,,,117,17617.75844,15745.38049,13257.45626,40745.83022,3114.997814,2741.34125
,,,,,118,16223.17831,15585.89745,12567.76156,43264.49681,2892.268185,2741.34125
,,,,,119,14799.11778,14590.65284,11575.65924,40675.86834,2892.268185,2741.34125
,,,,,120,13434.46212,13882.15611,10731.51209,38454.07008,2892.268185,2741.34125
,,,,,121,13115.50314,13068.49362,9938.991155,36410.88685,2819.817206,2550.523748
,,,,,122,13004.58286,12927.04975,9806.102683,35830.04415,2819.817206,2432.024326
,,,,,123,13004.58286,12927.04975,9806.102683,35170.0002,2819.817206,2432.024326
,,,,,124,13004.58286,12927.04975,9806.102683,35170.0002,2819.817206,2432.024326
,,,,,125,13469.41266,12939.46294,9806.102683,35170.0002,2819.817206,2432.024326
,,,,,126,15633.99424,13769.05275,10917.7884,36089.86413,2819.817206,2432.024326
,,,,,127,17007.86947,14943.88516,11620.14171,37471.04271,2819.817206,2550.523748
,,,,,128,16752.79864,14739.97122,11784.55361,37073.18486,2819.817206,2550.523748
,,,,,129,17355.18466,14633.92453,12463.58645,38655.97508,2819.817206,2550.523748
,,,,,130,17720.17405,14803.98085,12968.72126,40339.7681,2819.817206,2550.523748
,,,,,131,18671.19097,15545.00873,14091.39031,41006.83984,3075.359844,2550.523748
,,,,,132,18415.02543,15726.57525,12872.6313,40016.87429,3075.359844,2550.523748
,,,,,133,16977.67711,14968.11714,12674.36444,39377.09182,3075.359844,2432.024326
,,,,,134,17179.10176,14609.30068,12923.1267,40217.87298,3075.359844,2432.024326
,,,,,135,17147.02494,15000.33697,12809.3525,40317.17569,3075.359844,2432.024326
,,,,,136,17520.77564,14973.93214,13083.8866,40541.95967,2819.817206,2550.523748
,,,,,137,19668.3787,15306.50958,13323.98557,40384.71896,2975.429086,2691.645685
,,,,,138,18996.52267,16354.50819,13106.7262,39350.2017,2975.429086,2691.645685
,,,,,139,17746.1655,16089.39722,12612.26337,38868.15466,2975.429086,2691.645685
,,,,,140,18262.66978,15854.89564,13029.15235,39492.43537,2975.429086,2691.645685
