Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
3200,1,1,1,3200,1,13772.80799,14686.40411,10843.99404,39171.12576,2753.3927,2590.216059
,,,,,2,13631.41584,14516.62419,10635.25621,38387.6561,2753.3927,2465.477045
,,,,,3,13631.41584,14516.62419,10635.25621,37427.72298,2753.3927,2465.477045
,,,,,4,13631.41584,14516.62419,10635.25621,37427.72298,2753.3927,2465.477045
,,,,,5,14176.67269,14536.14146,10635.25621,37427.72298,2753.3927,2465.477045
,,,,,6,16646.79024,15502.2401,12131.53018,38738.11428,2753.3927,2465.477045
,,,,,7,18214.59133,16870.39093,13055.42455,40601.11698,2753.3927,2590.216059
,,,,,8,17923.5166,16632.923,13271.69638,40064.46642,2753.3927,2590.216059
,,,,,9,18610.93084,16509.42634,14164.91439,42199.41299,2753.3927,2590.216059
,,,,,10,19027.43925,16707.4654,14829.38226,44470.59718,2753.3927,2590.216059
,,,,,11,20112.69461,17570.42925,16111.53718,45370.37688,3076.357014,2590.216059
,,,,,12,19820.37074,17781.87251,14702.98295,44035.06186,3076.357014,2590.216059
,,,,,13,18180.1371,16898.61028,14442.1774,43172.09129,3076.357014,2465.477045
,,,,,14,18409.99338,16480.75064,14769.40595,44306.17894,3076.357014,2465.477045
,,,,,15,18373.38885,16936.13188,14619.74431,44440.1234,3076.357014,2465.477045
,,,,,16,18799.89549,16905.38213,14980.87383,44743.32326,2753.3927,2590.216059
,,,,,17,21195.82272,17292.68512,15296.70646,44531.22914,2951.565054,2737.953586
,,,,,18,20483.94771,18496.64204,15010.91765,43135.82056,2951.565054,2737.953586
,,,,,19,19057.09964,18204.39675,14360.48798,42485.61141,2951.565054,2737.953586
,,,,,20,19646.50958,17931.30799,14908.87493,43327.67244,2951.565054,2737.953586
,,,,,21,18813.75939,17635.20094,14518.72362,43689.13037,2951.565054,2737.953586
,,,,,22,17274.929,17442.11581,13690.3531,46656.84491,2753.3927,2737.953586
,,,,,23,15703.56878,16237.17934,12498.77033,43601.50271,2753.3927,2737.953586
,,,,,24,14197.75811,15379.40675,11484.89184,40818.68746,2753.3927,2737.953586
,,,,,25,13760.60964,14394.64927,11004.63219,39639.21691,2810.61123,2614.794745
,,,,,26,13629.99429,14220.07713,10790.00413,38846.87388,2810.61123,2486.532905
,,,,,27,13629.99429,14220.07713,10790.00413,37873.41845,2810.61123,2486.532905
,,,,,28,13629.99429,14220.07713,10790.00413,37873.41845,2810.61123,2486.532905
,,,,,29,14149.61672,14240.9878,10790.00413,37873.41845,2810.61123,2486.532905
,,,,,30,16528.86195,15228.93882,12314.69993,39201.30125,2810.61123,2486.532905
,,,,,31,18038.98582,16628.03613,13254.76226,41085.40383,2810.61123,2614.794745
,,,,,32,17758.61929,16385.19686,13474.81879,40542.67531,2810.61123,2614.794745
