HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB
-3518.537323,1277.142857,-1263.427143,5213.192222,1903.785556,2833,2635.01125
-3518.537323,1277.142857,-1263.427143,5213.192222,1903.785556,2833,2508.115
-3518.537323,1277.142857,-1263.427143,5213.192222,1903.785556,2833,2508.115
-3518.537323,1277.142857,-1263.427143,5213.192222,1903.785556,2833,2508.115
-3518.537323,1277.142857,-1263.427143,5213.192222,1903.785556,2833,2508.115
-3933.313896,1277.142857,-1263.427143,5596.33875,2043.705,2833,2508.115
-4131.563352,1605.04375,-1587.80625,5596.33875,2043.705,2833,2635.01125
-4131.563352,1605.04375,-1587.80625,5596.33875,2043.705,2833,2635.01125
-4131.563352,1605.04375,-1587.80625,5634.055714,2057.478571,2833,2635.01125
-3933.313896,1736.846667,-1718.195556,5634.055714,2057.478571,2833,2635.01125
-3933.313896,1736.846667,-1718.195556,5596.33875,2043.705,3165.302,2635.01125
-3518.537323,1605.04375,-1587.80625,5213.192222,1903.785556,3165.302,2635.01125
-3518.537323,1605.04375,-1587.80625,5213.192222,1903.785556,3165.302,2508.115
-3518.537323,1605.04375,-1587.80625,5596.33875,2043.705,3165.302,2508.115
-3518.537323,1736.846667,-1718.195556,5596.33875,2043.705,3165.302,2508.115
-3933.313896,1736.846667,-1718.195556,5596.33875,2043.705,2833,2635.01125
-3933.313896,1736.846667,-1718.195556,5634.055714,2057.478571,3036.902,2785.30375
-4131.563352,1736.846667,-1718.195556,5634.055714,2057.478571,3036.902,2785.30375
-4131.563352,1736.846667,-1718.195556,5634.055714,2057.478571,3036.902,2785.30375
-4131.563352,1736.846667,-1718.195556,5634.055714,2057.478571,3036.902,2785.30375
-4131.563352,1736.846667,-1718.195556,5634.055714,2057.478571,3036.902,2785.30375
-4131.563352,1605.04375,-1587.80625,5596.33875,2043.705,2833,2785.30375
-3933.313896,1605.04375,-1587.80625,5213.192222,1903.785556,2833,2785.30375
-3933.313896,1277.142857,-1263.427143,5213.192222,1903.785556,2833,2785.30375
-3495.427874,1295.964286,-1282.041429,5275.294444,1926.463333,2891.872857,2660.015
-3495.427874,1295.964286,-1282.041429,5275.294444,1926.463333,2891.872857,2529.535
-3495.427874,1295.964286,-1282.041429,5275.294444,1926.463333,2891.872857,2529.535
-3495.427874,1295.964286,-1282.041429,5275.294444,1926.463333,2891.872857,2529.535
-3495.427874,1295.964286,-1282.041429,5275.294444,1926.463333,2891.872857,2529.535
-3903.054845,1295.964286,-1282.041429,5662.7275,2067.95125,2891.872857,2529.535
-4087.188152,1629.75,-1612.2475,5662.7275,2067.95125,2891.872857,2660.015
-4087.188152,1629.75,-1612.2475,5662.7275,2067.95125,2891.872857,2660.015
-4087.188152,1629.75,-1612.2475,5701.038571,2081.941429,2891.872857,2660.015
-3903.054845,1763.691111,-1744.752222,5701.038571,2081.941429,2891.872857,2660.015
-3903.054845,1763.691111,-1744.752222,5662.7275,2067.95125,3242.09,2660.015
-3495.427874,1629.75,-1612.2475,5275.294444,1926.463333,3242.09,2660.015
-3495.427874,1629.75,-1612.2475,5275.294444,1926.463333,3242.09,2529.535
-3495.427874,1629.75,-1612.2475,5662.7275,2067.95125,3242.09,2529.535
-3495.427874,1763.691111,-1744.752222,5662.7275,2067.95125,3242.09,2529.535
-3903.054845,1763.691111,-1744.752222,5662.7275,2067.95125,2891.872857,2660.015
-3903.054845,1763.691111,-1744.752222,5701.038571,2081.941429,3107.084,2814.11375
-4087.188152,1763.691111,-1744.752222,5701.038571,2081.941429,3107.084,2814.11375
-4087.188152,1763.691111,-1744.752222,5701.038571,2081.941429,3107.084,2814.11375
-4087.188152,1763.691111,-1744.752222,5701.038571,2081.941429,3107.084,2814.11375
-4087.188152,1763.691111,-1744.752222,5701.038571,2081.941429,3107.084,2814.11375
-4087.188152,1629.75,-1612.2475,5662.7275,2067.95125,2891.872857,2814.11375
-3903.054845,1629.75,-1612.2475,5275.294444,1926.463333,2891.872857,2814.11375
-3903.054845,1295.964286,-1282.041429,5275.294444,1926.463333,2891.872857,2814.11375
-3451.072126,1302.882857,-1288.89,5280.415556,1928.335556,2949.834286,2679.8775
-3451.072126,1302.882857,-1288.89,5280.415556,1928.335556,2949.834286,2537.32125
-3451.072126,1302.882857,-1288.89,5280.415556,1928.335556,2949.834286,2537.32125
-3451.072126,1302.882857,-1288.89,5280.415556,1928.335556,2949.834286,2537.32125
-3451.072126,1302.882857,-1288.89,5280.415556,1928.335556,2949.834286,2537.32125
-3859.113727,1302.882857,-1288.89,5664.69375,2068.6675,2949.834286,2537.32125
-4029.784348,1624.38625,-1606.94,5664.69375,2068.6675,2949.834286,2679.8775
-4029.784348,1624.38625,-1606.94,5664.69375,2068.6675,2949.834286,2679.8775
-4029.784348,1624.38625,-1606.94,5702.565714,2082.498571,2949.834286,2679.8775
-3859.113727,1753.858889,-1735.023333,5702.565714,2082.498571,2949.834286,2679.8775
-3859.113727,1753.858889,-1735.023333,5664.69375,2068.6675,3331.158,2679.8775
-3451.072126,1624.38625,-1606.94,5280.415556,1928.335556,3331.158,2679.8775
-3451.072126,1624.38625,-1606.94,5280.415556,1928.335556,3331.158,2537.32125
-3451.072126,1624.38625,-1606.94,5664.69375,2068.6675,3331.158,2537.32125
-3451.072126,1753.858889,-1735.023333,5664.69375,2068.6675,3331.158,2537.32125
-3859.113727,1753.858889,-1735.023333,5664.69375,2068.6675,2949.834286,2679.8775
-3859.113727,1753.858889,-1735.023333,5702.565714,2082.498571,3184.678,2846.8
-4029.784348,1753.858889,-1735.023333,5702.565714,2082.498571,3184.678,2846.8
-4029.784348,1753.858889,-1735.023333,5702.565714,2082.498571,3184.678,2846.8
-4029.784348,1753.858889,-1735.023333,5702.565714,2082.498571,3184.678,2846.8
-4029.784348,1753.858889,-1735.023333,5702.565714,2082.498571,3184.678,2846.8
-4029.784348,1624.38625,-1606.94,5664.69375,2068.6675,2949.834286,2846.8
-3859.113727,1624.38625,-1606.94,5280.415556,1928.335556,2949.834286,2846.8
-3859.113727,1302.882857,-1288.89,5280.415556,1928.335556,2949.834286,2846.8
-3435.940435,1284.717143,-1270.921429,5223.085556,1907.397778,2970.017143,2693.253207
-3435.940435,1284.717143,-1270.921429,5223.085556,1907.397778,2970.017143,2545.719457
-3435.940435,1284.717143,-1270.921429,5223.085556,1907.397778,2970.017143,2545.719457
-3435.940435,1284.717143,-1270.921429,5223.085556,1907.397778,2970.017143,2545.719457
-3435.940435,1284.717143,-1270.921429,5223.085556,1907.397778,2970.017143,2545.719457
-3847.958944,1284.717143,-1270.921429,5579.2275,2037.4575,2970.017143,2545.719457
-4018.650435,1586.36125,-1569.32625,5579.2275,2037.4575,2970.017143,2693.253207
-4018.650435,1586.36125,-1569.32625,5579.2275,2037.4575,2970.017143,2693.253207
-4018.650435,1586.36125,-1569.32625,5613.198571,2049.86,2970.017143,2693.253207
