Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,1.620833864e6,1.615870706487596e6,4963.157512403908,0.003062101318734483
IME,3.20808185e6,3.207657876369546e6,423.973630454042,0.00013215798420294108
JL,2.456715e6,2.4533801826416254e6,3334.817358374421,0.0013574294773200885
LN,1.12702252e6,1.1270225199999996e6,4.656612873077393e-10,4.1317833410084766e-16
SD,0.0,0.0,0.0,NaN
JB,0.0,0.0,0.0,NaN
