Region,TotalPotentials,TotalCurtailments,Curtailment_rate
HL,4.808518064e6,31003.07820977975,0.0064475328567216855
IME,8.324569365000001e6,15342.664224666427,0.0018430580072013641
JL,8.140845e6,47345.55611565756,0.0058158036562122924
LN,6.592411239999999e6,712.6922299726284,0.00010810797506810703
SD,0.0,,
JB,0.0,,
NEG,2.7866343669e7,94403.99078007636,0.003387742285152981
