Index,Path,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168
1,HL_to_IME,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,0.0,2315.737033074059,0.0,0.0,0.0,3336.9542772634186,1271.4779476863112,2062.2902830393627,4283.792343409918,3155.7618664847023,2658.3965540613567,3870.961342670163,2605.9422759017298,1973.2202615853405,1026.1344018542857,982.1430030911245,1698.6569351700923,1435.4924585071378,1113.9796590734104,2109.280276959302,1331.415750452389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819.5592645725624,0.0,1986.052345777499,4472.325,4319.208734724099,2367.2918591297584,0.0,0.0,0.0,856.1017760506293,0.0,313.7994139154773,2234.5500705253808,1455.2304552340217,1590.3524047615442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.037079184429,517.1408090193693,2698.8719012903684,35.09799839880679,2437.322392942672,3278.4483891641426,4472.325,4472.325,4472.325,4380.054184558049,4472.325,4472.325,4472.325,4472.325,4472.325,4162.452100049401,1202.8640310891815,1820.7742263232074,2181.0821682606816,2853.6023937695973,4472.325,4472.325,3902.2793108020333,4472.325,4472.325,4472.325,4472.325,4472.325,3968.378240837552,2230.3363035868233,2231.1030920978033,2261.8293101224403,2063.4580089936,4472.325,1743.8497390963407,3563.7394613080905,4472.325,3666.1254399037175,4385.334589229645,3192.321379056045,589.4113630327098,2614.750122609095,3928.00219818322,694.5963381083045,0.0,4472.325,3052.7695191378048,4472.325,2021.7755229471768,2922.8467318571943,4472.325,2966.1844516177207,1334.2069279163716,1676.5009492262018,0.0,485.3836621304136,217.34380886132936,1740.7955554854502,1037.1880628556153,2428.1714047748605,4380.7203854652225,3035.5509509380395,1339.2252658251252,343.52871758016863,0.0,589.3889752912879,0.0,0.0,570.6623088354806,0.0,3089.1203414497936,4472.325,4472.325,4472.325,4472.325,4472.325,4472.325,4118.61359799279,2178.9206485239893,2738.748622717733,3418.7341537997313,2589.552544006542,878.4215245164862,2163.284423986396,2329.3180568752587,0.0,0.0,1720.7649751214738,2314.4209275751737,1437.3313062006491,339.8929165880328,0.0,0.0,0.0,919.0268542932859,526.1934348049631,1663.9454313774938,0.0,0.0,0.0,0.0,0.0,0.0
2,HL_to_JL,1252.1655555371449,1046.6582093965847,1316.9316231782707,1218.1946265227523,1600.2982504706636,3383.465561257532,1669.0549125050989,3576.06,2133.0211438461843,2035.2771468378048,0.0,1656.9902818581463,0.0,0.0,0.0,1056.5314549578768,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,1787.3768573930563,493.52752476332074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.3396128131992,3571.286490229699,3576.06,1222.7717766391033,1887.221411914892,1601.9061270397863,1452.585953776228,2204.412390385641,3136.8570074196814,2082.844732847591,2661.7755339837895,1547.908627621246,1534.9276935849255,3530.7566739565,3576.06,2359.04798866657,0.0,0.0,0.0,0.0,0.0,0.0,767.1252080844243,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,1556.2365333450384,0.0,0.0,0.0,0.0,0.0,1293.56029755539,3576.06,1628.8423281021924,1005.9765125726226,949.2887082089761,920.8818418708707,0.0,1718.007499948556,0.0,0.0,240.68929662867467,1891.3948261341995,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,3576.06,1267.2338136096987,1345.6400508862628,3576.06,3576.06,2141.8845441905005,3526.3167714859464,3576.06,0.0,1147.1030909606986,0.0,1251.0515561633895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.7791126997593,2005.0489475194818,1230.6809344586002,2250.305817604595,3576.06,3576.06,3455.28935631425,3563.3433683266103,1847.0840306830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0111570661231,3351.011374796236,3286.926540844737,1136.480352952674,655.5148605426177,809.1832464020492,1193.5243047460249,846.0845428153453
3,IME_to_JL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3558.0414146618805,0.0,0.0,0.0,0.0,0.0,2065.365280954238,3323.9299216973636,6436.790070392362,8318.52,7874.4996005991015,8318.52,8318.52,7421.011513183317,5650.2708640087685,4167.203087495666,1572.346568972067,350.6694840374341,1606.402958249364,0.0,0.0,2005.1074057441722,5931.091738567073,2631.326102897051,4635.354433376367,4599.7912056053665,3787.3991060758417,1623.444525896365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.084899877364,638.9064722498482,569.815787680853,0.0,0.0,0.0,0.0,0.0,199.90565366209816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.3043285480453,692.2067894588998,43.851415753464345,2944.4611130843655,0.0,2957.544138577731,3651.2568407243643,32.241475759851724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.3037971719819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.103942876046,7095.9278809483985,8089.013802383946,7382.144701801498,5941.908235883671
4,IME_to_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,JL_to_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,IME_to_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LN_to_JB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
