Week,Share
1,0.13853295309568434
2,0.23384189285513166
3,0.2938856990298053
4,0.152516459467818
5,0.2020564548955231
6,0.21419847444648876
7,0.2769985022469661
8,0.3099411932843502
9,0.31418511816292766
10,0.3702054758283274
11,0.25202614583904986
12,0.2487484945528051
13,0.2501196336940012
