STOR,SOLAR,COAL,WIND,HYDRO
0.0,0.0,8545.435,8851.14,0.0
0.0,0.0,8545.435,9690.3,34.33089499999994
0.0,0.0,8545.435,10469.52,0.0
0.0,0.0,8545.435,11608.38,0.0
0.0,0.0,8545.435,12707.28,0.0
0.0,6.048,8585.185,12827.16,66.25617899999997
0.0,229.82399999999998,15722.902699066683,8951.04,66.25617899999997
0.0,828.576,16323.635,4435.56,66.25617899999997
0.0,1400.112,16323.635,4255.74,66.25617899999997
0.0,1835.568,16323.635,4955.04,66.25617899999997
0.0,2125.872,16323.635,4815.18,198.76853699999995
0.0,2277.072,16323.635,4455.54,0.0
0.0,2289.1679999999997,15638.794782701269,3736.26,0.0
0.0,2171.232,16323.635,2377.62,66.25617899999997
0.0,1914.192,16323.635,919.08,66.25617899999997
0.0,1515.0240000000001,16336.135,219.78,66.25617899999997
0.0,952.5600000000001,18311.625,79.91999999999996,115.962358
0.0,362.88,18339.0,359.64,330.0
0.0,36.288000000000004,18303.25,3436.56,63.825588999999724
0.0,0.0,17201.372364832096,6393.6,68.68676900000028
0.0,0.0,16336.135,7252.74,0.0
0.0,0.0,16323.635,7252.74,132.512358
0.0,0.0,16323.635,6853.14,66.256179
0.0,0.0,16323.635,6393.6,66.256179
0.0,0.0,16228.631941755908,7552.44,0.0
0.0,0.0,15065.92224807587,8211.779999999999,0.0
0.0,0.0,16323.635,6853.14,0.0
0.0,0.0,16323.635,5794.2,0.0
0.0,0.0,16323.635,5614.38,17.83089499999994
0.0,0.0,16336.135,6233.76,66.25617899999997
0.0,42.336,17117.875,6193.8,66.25617899999997
0.0,133.05599999999998,17145.25,5674.32,66.25617899999997
0.0,247.96799999999985,18339.0,4635.360000000001,85.16190700000107
0.0,387.072,18346.5,4915.08,69.60557999999946
0.0,595.7280000000001,18346.5,4555.4400000000005,44.001049999999395
0.0,734.832,18346.5,4375.62,92.70493499999895
0.0,780.192,18420.951132,4195.8,39.807423000000995
