Path,Total
HL_to_IME,-2622.7139439893663
HL_to_JL,1008.7478462916637
IME_to_JL,-1021.101961105237
IME_to_LN,3833.270680904252
JL_to_LN,1379.4868977068859
IME_to_SD,2153.507464502686
LN_to_JB,1756.6514069552586
