Region,TotalPotentials,TotalCurtailments,Curtailment_rate
HL,5.577978444000001e6,541153.9268300475,0.09701613806201496
IME,1.5163926692999998e7,2.4858753326999494e6,0.1639334839205919
JL,9.363135e6,2.006502807944478e6,0.2142981819598327
LN,9.926800915000001e6,20717.274378260714,0.0020870041170016466
SD,0.0,,
JB,0.0,,
NEG,4.0031841052e7,5.054249341852736e6,0.126255730664184
