Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,163762.79711701526,549563.6160000003,1.3461907888130252e6,446376.5679999997,0.0,64354.83866279996,
IME,230443.8126010562,752730.0200315659,2.425264958095914e6,1.161274897474811e6,,6596.171850239999,
JL,63815.28984061974,238595.07649016407,493261.57270123914,1.4674776334694806e6,,324263.53682348074,
LN,191874.22137704355,432735.094305971,1.8717681832472105e6,1.9011155807881611e6,680.0,72198.83659967998,1.7233653520756683e6
SD,,,0.0,,,,
JB,,,0.0,,,,
