Week,Zone 1 Max NSE MW,Zone 2 Max NSE MW,Zone 3 Max NSE MW,Zone 4 Max NSE MW,Zone 5 Max NSE MW,Zone 6 Max NSE MW
1,0.0,4236.78884973815,0.0,230.20444788147597,0.0,0.0
2,462.96514441202305,2734.076071510233,0.0,179.96203362601216,0.0,0.0
3,0.0,1998.9692723870312,0.0,0.0,0.0,0.0
4,154.6273333739665,7002.834123679467,0.0,1552.92459837005,0.0,0.0
5,84.18061911053508,7860.754339384805,0.0,2089.004805986877,0.0,0.0
6,695.9233269779302,7759.924321884474,0.0,2066.0945036263706,0.0,0.0
7,1030.7282219377937,6601.672907867596,0.0,1772.0211869052318,0.0,0.0
8,4382.481846399998,6678.440184886373,0.0,0.0,0.0,0.0
9,6255.22846479,393.60785813740756,0.0,0.0,0.0,0.0
10,1375.5547885000015,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,586.089134419999,0.0,0.0,0.0,0.0,0.0
