Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,363584.05,363584.0500000001,-1.1641532182693481e-10,-3.201881980987197e-16
IME,1.1648140199999998e6,1.1648140199999993e6,4.656612873077393e-10,3.997730790600712e-16
JL,432283.25,432283.25,0.0,0.0
LN,647460.68,647460.6799999998,2.3283064365386963e-10,3.596058430202582e-16
SD,0,0,,
JB,0,0,,
