Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,92356.79230084439,326012.8045954509,1.338080563937182e6,672462.4247642222,87.0,46402.837823999966,
IME,243432.65589108475,532481.2462669667,1.7142459339640164e6,2.4169789429134107e6,,7017.799628800004,
JL,71694.94764573334,291277.01947976096,1.1944784940723623e6,896929.9431956123,,185609.9723044201,
LN,169761.6413557742,404579.75117095176,1.810627148383795e6,2.261445507652756e6,0.0,40697.56701696001,1.5673430758381358e6
SD,,,0.0,,,,
JB,,,0.0,,,,
