hour,tech,dispatch,zone,period
127,net_export,-1e-10,hl,2021 week 2
128,net_export,-1e-10,hl,2021 week 2
129,net_export,-1e-10,hl,2021 week 2
130,net_export,-1e-10,hl,2021 week 2
131,net_export,-1e-10,hl,2021 week 2
132,net_export,-1e-10,hl,2021 week 2
133,net_export,-1e-10,hl,2021 week 2
134,net_export,-1e-10,hl,2021 week 2
135,net_export,-1e-10,hl,2021 week 2
136,net_export,-1e-10,hl,2021 week 2
137,net_export,-1e-10,hl,2021 week 2
138,net_export,-1e-10,hl,2021 week 2
139,net_export,-1e-10,hl,2021 week 2
140,net_export,-1e-10,hl,2021 week 2
141,net_export,-1e-10,hl,2021 week 2
142,net_export,-1e-10,hl,2021 week 2
143,net_export,-1e-10,hl,2021 week 2
144,net_export,-1e-10,hl,2021 week 2
145,net_export,-1e-10,hl,2021 week 2
146,net_export,-1e-10,hl,2021 week 2
147,net_export,-1e-10,hl,2021 week 2
148,net_export,-1e-10,hl,2021 week 2
149,net_export,-1e-10,hl,2021 week 2
150,net_export,-1e-10,hl,2021 week 2
151,net_export,-1e-10,hl,2021 week 2
152,net_export,-1e-10,hl,2021 week 2
153,net_export,-1e-10,hl,2021 week 2
154,net_export,-1e-10,hl,2021 week 2
155,net_export,-1e-10,hl,2021 week 2
156,net_export,-1e-10,hl,2021 week 2
157,net_export,-1e-10,hl,2021 week 2
158,net_export,-1e-10,hl,2021 week 2
159,net_export,-1e-10,hl,2021 week 2
160,net_export,-1e-10,hl,2021 week 2
161,net_export,-1e-10,hl,2021 week 2
162,net_export,-1e-10,hl,2021 week 2
163,net_export,-1e-10,hl,2021 week 2
164,net_export,-1e-10,hl,2021 week 2
165,net_export,-1e-10,hl,2021 week 2
166,net_export,-1e-10,hl,2021 week 2
167,net_export,-1e-10,hl,2021 week 2
168,net_export,-1e-10,hl,2021 week 2
1,charge,-1e-10,hl,2021 week 2
2,charge,-1e-10,hl,2021 week 2
3,charge,-1e-10,hl,2021 week 2
4,charge,-1e-10,hl,2021 week 2
5,charge,-1e-10,hl,2021 week 2
6,charge,-1e-10,hl,2021 week 2
7,charge,-1e-10,hl,2021 week 2
8,charge,-1e-10,hl,2021 week 2
9,charge,-1e-10,hl,2021 week 2
10,charge,-1e-10,hl,2021 week 2
11,charge,-1e-10,hl,2021 week 2
12,charge,-1e-10,hl,2021 week 2
13,charge,-1e-10,hl,2021 week 2
14,charge,-1e-10,hl,2021 week 2
