STOR,SOLAR,COAL,WIND,HYDRO
0.0,0.0,11081.812723626274,0.0,1406.3583163800001
0.0,0.0,12256.59248000627,0.0,0.0
0.0,0.0,10521.025000000001,0.0,1735.567480006268
0.0,0.0,11410.165811550169,0.0,846.4266684561014
0.0,75.0,12181.592480006271,0.0,0.0
0.0,900.0,10521.025000000001,0.0,2834.029207505131
0.0,2145.0,11522.855333,0.0,1588.1265423125003
0.0,3015.0,11664.10326979,0.0,810.9988755225017
0.0,4110.0,10521.025000000001,0.0,1523.7177572374985
0.0,5445.0,10521.025000000001,90.0,1167.3583163800001
0.0,6945.0,10170.655632584512,360.0,1167.3583163800001
0.0,8415.0,9341.275000000001,1125.0,421.5761095434632
0.0,8070.0,9341.275000000001,1800.0,0.0
0.0,7665.0,10232.993422680924,1845.0,0.0
0.0,6375.0,10521.025000000001,1575.0,9.641186656539503
0.0,3975.0,10521.025000000001,1979.9999999999998,864.6242856999982
0.0,1635.0000000000005,10521.025000000001,3959.9999999999995,1578.918611999998
0.0,645.0,11664.771241239996,4320.0,755.798020760003
0.0,150.0,12569.5,1260.0,2701.9610319999992
868.3964579519406,0.0,12569.5,1350.0,2487.208714048059
0.0,0.0,12569.5,2025.0,2258.2555219999995
0.0,0.0,12740.351717840556,1440.0,1762.957997471944
0.0,0.0,12505.4255292575,540.0,1167.3583163800001
0.0,0.0,11744.60245362627,270.0,1167.3583163800001
0.0,0.0,11595.9071315,135.0,932.8502281958188
0.0,0.0,10952.88890513164,90.0,1401.8664045641815
0.0,0.0,12354.75530969582,90.0,0.0
0.0,0.0,10667.91289836822,135.0,1641.8424113276005
0.0,15.0,11596.357234000001,225.0,608.3980756958204
0.0,480.0,12304.085009532499,180.0,1830.2306259640804
0.0,1470.0,12444.375,90.0,1756.3204689124993
0.0,3315.0,11268.317134680263,90.0,1167.3583163800001
0.0,5385.0,10521.025000000001,90.0,939.7370520124991
0.0,6870.0,10521.025000000001,0.0,239.52146760265896
0.0,7395.0,10521.025000000001,0.0,1034.3135245026597
0.0,7080.0,10521.025000000001,0.0,0.0
