Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,113592.6959705937,492845.29999999993,1.6700455261320458e6,380525.8463076531,0.0,64354.83866279993,
IME,269269.78445270314,645334.4451851802,3.305570242715539e6,632444.3371573963,,6596.171850239996,
JL,152143.85869615653,357064.4488833706,1.187846105527249e6,963687.0761587379,,340944.2508402002,
LN,127632.17443475836,463078.165,3.2522526089284513e6,1.2633830999999992e6,0.0,72198.83659968003,1.750764825221253e6
SD,,,0.0,,,,
JB,,,0.0,,,,
