STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
0.0,0.0,18279.124999999996,10332.015,0.0,0.0,10425.0
0.0,0.0,18279.124999999996,10724.369999999999,0.0,0.0,10425.0
0.0,0.0,18279.124999999996,10942.345,0.0,-1.3642420526593924e-12,10425.0
0.0,0.0,18279.124999999996,10985.94,0.0,63.06991904000097,10425.0
0.0,0.0,18279.124999999996,10767.965,0.0,859.5099595200002,10425.0
0.0,741.84,18279.124999999996,7149.58,0.0,0.0,10425.0
1631.6684684267047,2380.07,18919.420897877146,2266.94,0.0,1840.0,10425.0
0.0,4821.96,18751.024999999998,2877.2699999999995,0.0,338.296431144132,10425.0
0.0,7093.845,18751.024999999998,2877.2699999999995,0.0,211.37718531600694,10425.0
0.0,8917.535,18751.024999999998,3400.41,0.0,648.4577553160052,10425.0
0.0,9983.93,18751.024999999998,3749.1699999999996,0.0,399.9084663038557,10425.0
0.0,10555.765000000001,18279.124999999996,3444.004999999999,0.0,0.0,10425.0
0.0,10478.490000000002,18279.124999999996,3269.625,0.0,0.0,10425.0
0.0,9844.835000000001,18279.124999999996,3356.815,0.0,0.0,10425.0
0.0,8608.435000000001,19445.950097052497,3138.8399999999997,0.0,429.7549797600002,10425.0
0.0,6614.74,22359.024999999998,3051.6499999999996,0.0,429.7549797600002,10425.0
0.0,4342.8550000000005,25113.992586573295,2048.965,0.0,429.7549797600002,10425.0
0.0,2009.1500000000003,25301.0,1961.7749999999999,0.0,429.7549797600002,10425.0
680.7555430298751,463.65,25301.0,1089.875,0.0,720.6053382450621,10425.0
3325.0,0.0,25301.0,523.14,0.0,138.9046212749381,10425.0
3575.4527617549293,0.0,25301.0,87.19,0.0,767.4599595200007,10425.0
6051.689741071139,0.0,25301.0,43.595,0.0,1840.0,10425.0
5047.064201460038,0.0,25301.0,43.595,0.0,0.0,10425.0
776.510411940043,0.0,25301.0,43.595,0.0,859.5099595199999,10425.0
0.0,0.0,25163.704655958398,174.38,0.0,429.75497975999997,10425.0
0.0,0.0,24309.036023633307,130.785,0.0,429.75497975999997,10425.0
0.0,0.0,23541.253713393315,130.785,0.0,0.0,10425.0
0.0,0.0,23628.443713393317,43.595,0.0,0.0,10425.0
0.0,0.0,23628.443713393317,43.595,0.0,0.0,10425.0
0.0,417.28499999999997,23822.291514608653,87.19,0.0,373.913296841351,10425.0
0.0,1591.865,23699.65,0.0,0.0,1774.8616019586489,10425.0
0.0,3044.635,23378.293541958643,0.0,0.0,0.0,10425.0
0.0,4636.5,23578.1,43.595,0.0,654.7910353160778,10425.0
0.0,6073.8150000000005,23589.258796896527,174.38,0.0,634.4739039639222,10425.0
0.0,7742.955,23435.1,828.305,0.0,0.0,10425.0
0.0,7897.505000000001,23435.1,2310.535,0.0,400.8248987999994,10425.0
0.0,7263.849999999999,21838.705399709106,5187.804999999999,0.0,0.0,10425.0
0.0,6413.825,22011.242135665787,7062.39,0.0,0.0,10425.0
0.0,5409.249999999999,22503.1409100079,6103.3,0.0,0.0,10425.0
0.0,4373.764999999999,23397.18339072504,2920.865,0.0,429.7549797600002,10425.0
30.724630606120627,2874.63,25301.0,653.925,0.0,1840.0,10425.0
2099.0242206061157,1452.77,25301.0,174.38,0.0,0.0,10425.0
2288.7085506061194,309.1,25301.0,348.76,0.0,0.0,10425.0
2779.141070606114,0.0,25301.0,1177.065,0.0,0.0,10425.0
2554.9969618061245,0.0,25301.0,1525.825,0.0,308.77489879999985,10425.0
4811.872216728275,0.0,25301.0,2005.37,0.0,1020.4849271760477,10425.0
222.40456576940608,0.0,25301.0,3226.0299999999997,0.0,1586.975032343953,10425.0
0.0,0.0,24444.005946878853,3531.195,0.0,96.79623676878674,10425.0
0.0,0.0,23269.22366658922,2790.08,0.0,0.0,10425.0
0.0,0.0,22083.365173479375,1874.5849999999998,0.0,0.0,10425.0
0.0,0.0,21909.17533483122,1089.875,0.0,0.0,10425.0
0.0,0.0,22671.5,653.925,0.0,304.02866203121266,10425.0
0.0,0.0,23081.94238498509,348.76,0.0,429.7549797600002,10425.0
0.0,587.29,23266.921538446364,130.785,0.0,883.0935855368143,10425.0
0.0,2070.9700000000003,23276.5,130.785,0.0,1724.3663739831863,10425.0
0.0,4064.665,21289.1875866103,392.35499999999956,0.0,429.75497975999997,10425.0
0.0,6630.195,21132.225,1002.685,0.0,0.0,10425.0
0.0,8469.34,20503.025,1700.205,0.0,400.8248987999994,10425.0
0.0,9953.02,20431.525,2223.3449999999993,0.0,0.0,10425.0
0.0,10416.67,21097.911769266906,1961.7749999999999,0.0,0.0,10425.0
0.0,10385.76,21078.6,1482.23,0.0,0.0,10425.0
0.0,9427.55,21203.725,1133.47,0.0,429.7549797600002,10425.0
0.0,8021.145,21060.002413173177,915.4950000000008,0.0,429.7549797600002,10425.0
0.0,5934.72,22891.0,1089.875,0.0,1006.082402933178,10425.0
669.6982854069304,3570.105,22891.0,2920.8650000000002,0.0,1142.6924958668221,10425.0
0.0,1700.0499999999993,21266.061051273755,6582.844999999999,0.0,0.0,10425.0
0.0,386.375,19371.71788127376,9024.164999999999,0.0,0.0,10425.0
0.0,0.0,20315.06439127376,9460.115,0.0,0.0,10425.0
1220.72979151375,0.0,20791.0,7759.91,0.0,429.7549797600002,10425.0
