Region,STOR,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,0.0,124899.60000000002,605904.7223422654,363584.0500000001,10498.427521884578,32103.792671999985,
IME,9484.541794968023,83447.28,2.6023374070332274e6,1.1648140199999993e6,,14222.993399999988,
JL,520.0,95049.66000000002,551445.6968107725,432283.25,,58725.064925519975,
LN,779.0601082766697,108262.21999999999,2.264784092029037e6,647460.6799999998,5650.0,50767.253039999996,891240.0
SD,,,0.0,,,,
JB,,,0.0,,,,
