Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,549563.616,549563.6160000003,-2.3283064365386963e-10,-4.2366458927635706e-16
IME,756810.4049999999,755833.8954533772,976.5095466227503,0.001290296143091149
JL,450150.0,270745.74494456174,179404.25505543826,0.39854327458722266
LN,433373.655,432921.41597188014,452.23902811988955,0.0010435314258313408
SD,0,0,,
JB,0,0,,
