Region,SOLAR,COAL,WIND,GAS,HYDRO,NUCLEAR
HL,1.8857525419421322e6,3.7392011640175935e6,3.157693042029043e6,87.0,193441.8301787999,0.0
IME,2.463169746303615e6,7.262009286716304e6,1.0301898457324725e7,0.0,30241.17603200001,0.0
JL,1.5329425390879782e6,3.655569968609049e6,6.138212810091779e6,0.0,751123.2748750681,0.0
LN,1.8359612700000005e6,9.340568761916619e6,8.07618099261091e6,150.0,162790.26806784002,6.709508607486841e6
SD,0.0,0.0,0.0,0.0,0.0,0.0
JB,0.0,0.0,0.0,0.0,0.0,0.0
