Region,TotalPotentials,TotalActuals,TotalCurtailments,Curtailment_rate
HL,580268.008,511318.0614249878,68949.94657501223,0.11882431156709958
IME,865853.3759999999,753644.2178703625,112209.15812963748,0.12959371787404972
JL,495480.0,428577.11932705756,66902.88067294244,0.13502640000190208
LN,422786.98000000004,422786.98,5.820766091346741e-11,1.376760961595066e-16
SD,0,0,,
JB,0,0,,
